Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40
"R (growth rate per h)",0.00875684527898293,0.0192556858510489,0.00569080751306096,0.0103117858892457,0.0385920094652378,0.0135616933873121,0.0232170779752498,0.0106912808568273,0.00508576498925192,0.017777490638221,199.932838492369,0.0143461693912147,0.00305797854477604,0.00646186564381058,0.00436417848571599,1.57327931703885,0.00458442592089789,0.0335620664051114,0.0105228177676672,0.0108639211696204,0.0272216776744692,0.0171171279021661,0.00931956107530634,0.0121442818466149,0.0520070575138524,2643.677887221,5016.88812143038,138.151198956943,2208.99283664835,0.201962872727584,0.201245010598335,0.22680012120226,0.188662160561402,0.208557239891582,0.475617447252725,0.455989803261456,0.44952953501549,0.446110478487831,0.505012286257487
"R algorithmic standard error estimate",0.00513669786354019,0.00922103836413629,0.131788750070875,0.00497262960395852,0.00899487001361054,0.00419656926342792,0.00678023407101898,1.34187115952417,0.290746959855324,0.0101906049586372,425.43068705428,0.0164113055179693,1.18612473203314,2.7631208658867,0.484554407499012,4.2003927968628,1.22143110235081,0.00563312550584325,0.0229165448408461,0.0171435024875549,0.0184193017064396,0.554350342052123,1.1787754211706,0.505991853124191,0.0740582819192067,721.042568118685,1831.44423546573,35.3532288289639,589.924397781827,0.0239916396265095,0.0150870486186342,0.0327892778055788,0.0209788242575672,0.0199659854474053,0.0121145020122252,0.011488127322985,0.0152773478726497,0.0144388695936008,0.0202666643614452
"K (population size OD600nm)",0.00110407848910594,0.0023885709088516,0.00613326447972512,0.00100292749775147,0.000705915277419854,0.00064967163929108,0.000534238858742695,0.0235482703497297,0.00971097770578455,0.0013902254892697,72.2141876534537,0.00631472283198794,0.0192476751010272,0.0350594412786273,0.0155094127917887,1.88420597896865,0.0268483433833635,0.00126545957789825,0.00525613146917054,0.00626995313946012,0.0163615781087438,0.0328157713115921,0.0437487934864307,0.0397845179787008,0.02707428469755,2338.55235181022,2952.00881081953,172.396566092361,2613.86059751097,0.0625541651831134,0.0550751367570757,0.0709078926238466,0.0465811554394757,0.0592615336491508,0.0764647785405334,0.0754863501460948,0.0764497829195931,0.0795452177584344,0.0816708965170243
"K algorithmic standard error estimate",0.000167350983494126,0.000314114060309461,0.10283339214721,0.000110685995164987,0.000110048705605097,0.000127571081646591,0.000105262417308936,2.4449637128092,0.3897516566364,0.000171600598057005,124.838226686489,0.00309311744777501,3.85245446163966,10.7467726916347,0.925909725839609,3.15599556847991,3.76801880404305,0.000133680522149053,0.00664202552597645,0.00464652736023544,0.00512043570370417,0.793082556594199,3.16477632468111,0.880117128921976,0.0292740661174934,386.552039569265,796.92732383315,21.0885557217199,367.114578735162,0.00413105561591429,0.0021961609916293,0.00712956691473713,0.00303710167397836,0.00324927842779801,0.000578935076282948,0.000557531049921635,0.000787811136597167,0.000835452969182489,0.000941653960664698
"Yield (OD600nm per ug/mL malto3)",0.000441631395642375,0.000955428363540639,0.00245330579189005,0.000401170999100588,0.000282366110967942,0.000129934327858216,0.000106847771748539,0.00470965406994594,0.00194219554115691,0.000278045097853941,7.22141876534537,0.000631472283198794,0.00192476751010272,0.00350594412786273,0.00155094127917887,0.0942102989484324,0.00134241716916818,6.32729788949124e-05,0.000262806573458527,0.000156748828486503,0.000409039452718595,0.000820394282789803,0.00109371983716077,0.00099461294946752,0.000338428558719375,29.2319043976278,36.9001101352441,2.15495707615452,32.6732574688871,0.000390963532394458,0.000344219604731723,0.000443174328899041,0.000291132221496723,0.000370384585307193,0.000305859114162134,0.000301945400584379,0.000305799131678373,0.000318180871033738,0.000326683586068097
"Yield algorithmic standard error estimate",6.69403933976505e-05,0.000125645624123784,0.0411333568588838,4.4274398065995e-05,4.40194822420387e-05,2.55142163293183e-05,2.10524834617872e-05,0.488992742561839,0.07795033132728,3.43201196114011e-05,12.4838226686489,0.000309311744777501,0.385245446163966,1.07467726916347,0.0925909725839608,0.157799778423996,0.188400940202153,6.68402610745264e-06,0.000332101276298823,0.000116163184005886,0.000128010892592604,0.019827063914855,0.0791194081170278,0.0220029282230494,0.000365925826468668,4.83190049461582,9.96159154791437,0.263606946521499,4.58893223418953,2.58190975994643e-05,1.37260061976831e-05,4.45597932171071e-05,1.89818854623648e-05,2.03079901737376e-05,2.31574030513179e-06,2.23012419968654e-06,3.15124454638867e-06,3.34181187672996e-06,3.76661584265879e-06
"Lag estimate 1 (h)",4.70604585250901,3.59308412189137,-48.46273095034,4.95843644957297,4.80421822131975,7.3512661874776,5.97457399940982,21.5674426064812,-90.0941300877308,4.43753342425087,71.8231024873927,-1.29400137075639,-139.960709483647,-21.0841498155037,-63.4533051501312,114.802658785467,-206.652606221254,6.03742483313256,-13.0636698862774,-1.9837841612748,-4.34345139854037,-97.1174305369797,-71.6256610114822,-59.9796436914916,14.4087547542959,161.912889373586,120.260715122526,164.287788342974,203.927445912724,11.458170945988,12.0527168342767,15.1447698968333,14.2991442634864,12.7406048976195,10.569719928836,9.78658805067221,10.0349753350745,10.5120003672443,9.74750302090147
"Lag estimate 2 (h)",7.43661971830986,4.73239436619718,8.45070422535211,6.42253521126761,7.43661971830986,10.1408450704225,8.7887323943662,10.4788732394366,8.7887323943662,6.76056338028169,12.8450704225352,8.11267605633803,9.46478873239437,7.43661971830986,9.12676056338028,10.8169014084507,7.43661971830986,7.43661971830986,5.40845070422535,7.43661971830986,6.08450704225352,5.07042253521127,7.09859154929577,7.77464788732394,9.46478873239437,7.77464788732394,8.45070422535211,6.08450704225352,7.09859154929577,10.1408450704225,10.1408450704225,10.4788732394366,12.169014084507,10.8169014084507,10.1408450704225,9.12676056338028,8.7887323943662,9.46478873239437,8.45070422535211
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,10,10,10,10,10,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.618176170835299,0.72055221955256,0.410052899891397,0.704857861660127,0.379941814164519,0.274942442712142,0.275626404868275,0.482523861887473,0.461168132954528,0.63972095116011,0.359786263969253,0.762847937438136,0.442315618455429,0.514797254965171,0.522046159166731,0.343607867736914,0.569409512244751,0.570347855529912,0.716777394388087,0.815750979514472,0.963795609108446,0.789827606884209,0.748287119143413,0.844895574825892,0.956327273167378,0.963081410078196,0.945904389188376,0.96896544847487,0.969232941067535,0.996075313971316,0.997867668718528,0.997589728999986,0.996091952160929,0.997348235475163,0.998969143826854,0.998977498588745,0.998222670033293,0.998540164388476,0.997342209816565
