Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41
"R (growth rate per h)",0.0155994014677009,0.0226438274781645,0.0208623812788332,0.0180569910906372,0.0199567013677157,0.013381849472266,0.0155983290500424,0.0142310668644165,0.0176100789800846,0.0242094735467233,0.0205733363677625,0.0265649885553036,0.0433231329557715,0.0230098935049525,0.0222997858423154,25087.3064506528,30428.9661056484,55091.8109016155,13695.3848555932,11975.1008675755,77436.0186125531,86588.054671572,32611.2819839456,14952.3903181045,14795.8516748847,20789.90970938,43790.5673158708,54777.9508441703,31902.6990995962,37553.413045868,66508.2761333247,177420.397878909,200466.164349323,72721.8492436908,126233.435939024,0.27238529475869,0.292610829078947,0.304881521772006,0.270095409483272,0.309151751244976
"R algorithmic standard error estimate",0.00589630324817129,0.00477274429494537,0.00692120677849617,0.00652110493261682,0.00604494498648137,0.011336155890698,0.019709086900251,0.384474788833558,0.0127400762387806,0.0187233773085058,0.017249865704812,2.40277744129404,3.25011375399206,0.0179547624163519,0.544935219122837,10491.4941257562,352.75641273174,601.300726406753,4837.96444859369,6655.54719854446,475.698235439758,518.136897775463,486.82420336327,6272.84930399173,5751.64524694919,9896.06792081252,18542.4952686936,18985.9060484418,12995.4276057045,536.748130028271,311.708899078284,829.267464082024,1760.19630829937,370.8173832108,703.099403040425,0.0265282371831054,0.0281884618942802,0.0359519272926094,0.0230208689116436,0.0393887842044054
"K (population size OD600nm)",0.00439312459854363,0.00521960843553446,0.00634531301040002,0.0072150443638251,0.00522325684052403,0.00827198333249326,0.0109149230315718,0.0431245437894468,0.0093151356174261,0.0132371184079458,0.009960750649154,0.10476140831126,0.152831541409714,0.0131624660107123,0.0669894877081618,11207.036220649,24032.0402379857,48409.3407692178,8639.87796498707,10403.854761882,29736.5896424132,33064.9940737056,22463.7099270353,6042.0178594615,5826.96372163389,4900.14729974449,13036.5013332393,22078.1331461346,11080.5986975792,27821.3512154959,63323.8144379153,140373.015737211,166642.681799628,74839.772026945,113949.327766529,0.12035797221175,0.158078312066088,0.155105549832099,0.125120257442188,0.168824477805533
"K algorithmic standard error estimate",0.000630320708948464,0.000368060951598405,0.000806490719569147,0.00111345340632458,0.00063454120960072,0.00325236504178306,0.00662385382020613,0.655481037490974,0.00313629454599853,0.00550926854422881,0.004459004607008,6.82808829669294,9.2255503414493,0.00480845867607102,0.940485652231874,3660.94485617504,1.48271660120034e-09,5.96895378482565e-10,2225.1367265996,3949.73230416123,1.51343876803628e-09,1.333985199966e-09,2.44783277075092e-09,2017.79396736559,1811.67703742728,2023.6575411962,4630.24966036688,6094.18984275679,3691.35129734579,1.71457859020242e-09,1.65843558750204e-10,9.76659054587052e-11,1.44184480464542e-10,1.30512022529488e-10,1.16448810446009e-10,0.00631091999497,0.0089965851451923,0.0112583970392949,0.00615750925588916,0.0136471867117583
"Yield (OD600nm per ug/mL malto3)",0.00175724983941745,0.00208784337421378,0.00253812520416001,0.00288601774553004,0.00208930273620961,0.00165439666649865,0.00218298460631436,0.00862490875788936,0.00186302712348522,0.00264742368158916,0.0009960750649154,0.010476140831126,0.0152831541409714,0.00131624660107123,0.00669894877081618,560.351811032451,1201.60201189928,2420.46703846089,431.993898249354,520.192738094099,743.41474106033,826.624851842641,561.592748175882,151.050446486538,145.674093040847,61.2518412468061,162.956266665492,275.976664326682,138.50748371974,347.766890193698,395.773840236971,877.331348357571,1041.51676124767,467.748575168406,712.183298540806,0.000481431888846999,0.000632313248264351,0.000620422199328394,0.000500481029768751,0.000675297911222131
"Yield algorithmic standard error estimate",0.000252128283579386,0.000147224380639362,0.000322596287827659,0.000445381362529833,0.000253816483840288,0.000650473008356612,0.00132477076404123,0.131096207498195,0.000627258909199706,0.00110185370884576,0.0004459004607008,0.682808829669294,0.92255503414493,0.000480845867607102,0.0940485652231874,183.047242808752,7.41358300600168e-11,2.98447689241282e-11,111.25683632998,197.486615208061,3.78359692009071e-11,3.334962999915e-11,6.1195819268773e-11,50.4448491841398,45.2919259356819,25.2957192649526,57.878120754586,76.1773730344598,46.1418912168224,2.14322323775302e-11,1.03652224218877e-12,6.10411909116908e-13,9.01153002903385e-13,8.15700140809301e-13,7.27805065287556e-13,2.524367997988e-05,3.59863405807692e-05,4.50335881571795e-05,2.46300370235567e-05,5.45887468470332e-05
"Lag estimate 1 (h)",1.29309801898198,4.0656130849881,1.61305430050952,-2.04756080263996,-0.0775399916044544,-8.21135713430105,-12.4285892737668,-113.878217406069,-7.26581812306597,-12.6958911920667,5.40351412278234,-10.4717451021305,18.1900258722901,-1.97661060169973,-40.4369408037456,104.317478866723,171.434062036373,194.418830271717,132.758505343306,178.232991862737,94.9306292359435,95.1713224768199,153.878565223195,90.7446757769004,87.9167124741888,61.0650258244006,74.2246658045555,94.1044005510999,82.2101342506949,161.473095094711,200.724527667584,179.585479452007,189.909257077905,214.727820539834,197.528073455876,6.82717097281064,6.61946484533808,8.37556788026319,7.84557893728624,8.46191685225971
"Lag estimate 2 (h)",7.43661971830986,8.45070422535211,6.42253521126761,6.42253521126761,5.07042253521127,4.73239436619718,4.73239436619718,3.04225352112676,2.70422535211268,3.38028169014085,6.76056338028169,6.08450704225352,3.38028169014085,4.73239436619718,4.73239436619718,6.76056338028169,5.40845070422535,5.40845070422535,4.05633802816901,5.40845070422535,8.11267605633803,8.11267605633803,7.43661971830986,8.11267605633803,7.43661971830986,17.2394366197183,8.45070422535211,7.77464788732394,7.77464788732394,6.42253521126761,7.09859154929577,7.43661971830986,7.77464788732394,5.74647887323944,7.09859154929577,8.11267605633803,7.09859154929577,7.77464788732394,7.77464788732394,7.43661971830986
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,10,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.903569935198243,0.951284974810944,0.933222388120114,0.961760715888976,0.93542036674538,0.949268148508187,0.931437177648301,0.916132168579481,0.940631691482048,0.954910986417894,0.925412589270012,0.872312742858113,0.928942017821971,0.94597991016348,0.931863107308704,0.929810953166969,0.952882363064361,0.963230331245873,0.950259207117578,0.903961898671823,0.957724257873968,0.959399943903237,0.909773308105858,0.931531715177036,0.941274618782021,0.945250753245968,0.943144096153288,0.952264753484995,0.940208220170831,0.924207251635891,0.993658919181077,0.992044918539949,0.974168575687177,0.993145072949572,0.990477564243404,0.998641328082842,0.999417115656916,0.999093114982095,0.999245487345587,0.999226271600726
