Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37
"R (growth rate per h)",0.0254578505219654,0.0701217762934123,0.157757356344604,0.0369646993202985,0.244084287903892,0.0614500863530142,0.0451770635983494,0.0430275505308647,0.0687757570269841,0.0630476489136119,0.254563971321843,0.0576346378821189,0.156559801877806,0.136833938580061,0.133635161276918,0.329299952039721,0.158362009650059,0.264203692556614,0.225353242548255,0.283588935158657,0.256435517093858,0.292823455664178,0.514928999313806,0.511016813521093,0.49422078412653,0.46626364258524,0.493856031710703,0.9584337809987,0.937550304534757,0.982911584466712,1.23329783195741,1.01807821225592,1.30451427227555,1.26952582135926,1.26487522005471,1.2144134576029
"R algorithmic standard error estimate",0.00795057430220998,0.00608609451628295,0.0365052546929691,0.0110481655126755,0.0500486129150192,0.0027787640692226,0.0468287017551983,0.00948167664112605,0.0211727355150843,0.00813925758153877,0.0645669703361047,0.0167687912931938,0.00880356846472049,0.00486415187341488,0.0083964258690754,0.0311781802357632,0.00596016673515811,0.00814221615116476,0.00807295572032917,0.0153541561706726,0.00796008539497257,0.00704062597571129,0.00964735132801864,0.0100596821082821,0.0111371539877339,0.0108286069329246,0.011220623010472,0.0144445025118949,0.01427057201596,0.0153240439108958,0.0309538659422686,0.0211296870088993,0.0118767930303563,0.0132519872050765,0.0119737179936973,0.0124094167519378
"K (population size OD600nm)",0.000507250567956292,0.000987338260595568,0.00134507576840172,0.000566702214444282,0.00193577433513027,0.00201264008107488,0.00314775639069154,0.00274132471692916,0.0033844592371752,0.00333922211476539,0.00409158015202562,0.00358495127711187,0.00705527570525624,0.00620085497015889,0.00562123656937236,0.042000212575453,0.00741840739075366,0.0118515298697747,0.012368259161981,0.0119366390852168,0.0124894148354424,0.0139771409601742,0.0222219328750693,0.022219123969628,0.02160005416856,0.0225782702842018,0.0212807148827336,0.0454256691631009,0.0445190674668109,0.0444024916086724,0.0450115886714773,0.0424582945308714,0.0823251217129216,0.0843438183800258,0.0863918220878637,0.0849856357412442
"K algorithmic standard error estimate",0.000112247603246292,5.68742588218486e-05,0.00018170647518476,0.000119392772824013,0.00026313450513078,5.26699872630836e-05,0.000708423268202647,0.00051070751877023,0.000203783266683919,7.96973177265754e-05,0.000654935235881229,0.000229349571847715,0.00023479057355942,0.000130314306731315,0.00021110078918769,0.00108749956174423,0.000159856317132417,0.000224253232740986,0.000257983909327771,0.000400456720113148,0.000236525164407588,0.000200546475948089,0.000268556693870133,0.000284476254763001,0.000315193501931309,0.000332454313285681,0.000307942133418515,0.000449552344698807,0.000445400952119183,0.000460544411202343,0.000777553198777075,0.000582053291594558,0.000497156036704578,0.000580390063993957,0.000534413099328077,0.000566618163383683
"Yield (OD600nm per ug/mL malto3)",0.000202900227182517,0.000394935304238227,0.00053803030736069,0.000226680885777713,0.000387154867026053,0.000402528016214977,0.000629551278138307,0.000548264943385833,0.00033844592371752,0.000333922211476539,0.000409158015202562,0.000358495127711187,0.000352763785262812,0.000310042748507945,0.000281061828468618,0.00210001062877265,0.000185460184768842,0.000296288246744368,0.000309206479049524,0.000298415977130419,0.000312235370886061,0.000174714262002178,0.000277774160938367,0.00027773904962035,0.000270000677107001,0.000282228378552522,0.000133004468017085,0.000283910432269381,0.000278244171667568,0.000277515572554202,0.000281322429196733,0.000169833178123486,0.000329300486851686,0.000337375273520103,0.000345567288351455,0.000339942542964977
"Yield algorithmic standard error estimate",4.48990412985168e-05,2.27497035287394e-05,7.26825900739038e-05,4.77571091296054e-05,5.26269010261559e-05,1.05339974526167e-05,0.000141684653640529,0.000102141503754046,2.03783266683919e-05,7.96973177265754e-06,6.54935235881229e-05,2.29349571847715e-05,1.1739528677971e-05,6.51571533656577e-06,1.05550394593845e-05,5.43749780872115e-05,3.99640792831043e-06,5.60633081852465e-06,6.44959773319428e-06,1.00114180028287e-05,5.9131291101897e-06,2.50683094935111e-06,3.35695867337666e-06,3.55595318453752e-06,3.93991877414137e-06,4.15567891607102e-06,1.92463833386572e-06,2.80970215436754e-06,2.78375595074489e-06,2.87840257001465e-06,4.85970749235672e-06,2.32821316637823e-06,1.98862414681831e-06,2.32156025597583e-06,2.13765239731231e-06,2.26647265353473e-06
"Lag estimate 1 (h)",5.16622922617727,3.77592682546823,2.42302034458561,4.12840807806857,2.39346310854819,3.54978542422833,3.66322059057557,18.8345141010631,3.23115926346315,4.1977693201514,4.72409655100892,3.07587371405795,5.1064863588981,5.10265494359905,5.09797509512808,3.82365495608217,4.44926806771494,6.06964296115123,5.4499922703639,6.0606154520409,6.23973837558191,5.54631393993302,7.39222587707686,7.69862511781116,7.57849749546058,7.37701057077625,6.97995894700574,8.44370645660564,8.48665567834751,8.66750824299599,8.8471558470832,8.02221260986854,10.198416508319,10.2201142029284,10.0406192005615,10.1001695095688
"Lag estimate 2 (h)",NaN,2.36619718309859,NaN,NaN,NaN,3.38028169014085,4.3943661971831,NaN,2.70422535211268,0.338028169014085,NaN,1.35211267605634,4.73239436619718,5.40845070422535,4.3943661971831,6.08450704225352,2.70422535211268,5.74647887323944,5.07042253521127,5.74647887323944,4.05633802816901,5.40845070422535,6.76056338028169,7.09859154929577,6.76056338028169,6.76056338028169,6.42253521126761,7.43661971830986,8.11267605633803,8.11267605633803,8.45070422535211,7.43661971830986,10.4788732394366,9.80281690140845,9.80281690140845,9.80281690140845
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,2.5,2.5,5,5,5,5,10,10,10,10,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.318243739398076,0.819141164323884,0.476790558340961,0.305300812001486,0.46052940534464,0.957632622695826,0.359883394261691,0.438775908867945,0.873825169449523,0.975422949907488,0.375576361349785,0.879697697444304,0.931357303896552,0.971448570735103,0.914177934950018,0.984889489809931,0.970408487363698,0.976397137011584,0.971681820917284,0.929384521663735,0.976302357743461,0.986387182046178,0.990111686970671,0.988892180801496,0.985629350256815,0.985383005823528,0.985929245168034,0.993305151313931,0.993157643447894,0.992646919229421,0.979870264267945,0.987264864969017,0.997496554555619,0.996755667164132,0.997375561518816,0.996955522541624
