Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33
"R (growth rate per h)",1.28045270307405,0.198758764813879,0.0717255018414848,0.187788973232282,0.141615948203913,0.0608860437167977,0.0892822464322567,0.161573560151489,0.160900368979351,0.165506646018904,0.149786861170327,0.203226176616848,0.315687535323812,0.318370964495792,0.327233403590663,0.312342260790778,0.323853864266686,0.68861652509278,0.656549412683907,0.6657586995064,0.621092139588908,0.660987463100648,1.45275321218995,1.40268470141425,1.54605749151669,1.3369251991531,1.30110907792803,1.61098770445745,1.54735601288564,1.55629090766628,1.51026037766593,1.70276759124888
"R algorithmic standard error estimate",2.4684419243842,0.0362956027872462,0.0213510983679426,0.043869391684391,0.0141967486977522,0.0877814559500915,0.0458274459190867,0.013152197001571,0.0113944036030809,0.00798808357469889,0.0104312262286798,0.00832630047829945,0.0103775909053063,0.00968202627320398,0.0102902176301213,0.00923948230686518,0.0102447743912183,0.0171090456756761,0.014395130975767,0.00741484589303901,0.00807550797052187,0.0180665751036962,0.0167218161156099,0.0169390740285564,0.0222074182705133,0.0151273212075902,0.0194754967356174,0.0206309500069769,0.019475814312598,0.01848200860413,0.019758899301091,0.0322057774291718
"K (population size OD600nm)",0.00176698152102004,0.00153831657023489,0.00155493095841081,0.00260403792246326,0.0051378119499245,0.00347086440301729,0.0108444018201887,0.00671858265093434,0.0059517809185185,0.00657131096540962,0.00684509849835016,0.00728434179367438,0.0126869797635387,0.0134752492427904,0.0133057106641703,0.0139050043647633,0.0135901948383067,0.0264279781630365,0.02725722070514,0.0313342447530498,0.0282018644338498,0.0254403602927733,0.0706251855357804,0.0705398348401445,0.0674333712683307,0.0699790493881502,0.0669702686127526,0.0729370135740776,0.0719792924776122,0.0715637643657784,0.0735349213243331,0.0675053293982565
"K algorithmic standard error estimate",0.000578854534348456,0.000187685399374244,0.000262718036072286,0.000233893370306678,0.000306904741500609,0.000969597006693216,0.0018091533403943,0.000321719345388046,0.000257041728553941,0.00019012570827739,0.000270546226327658,0.000181009788030582,0.000258347912561377,0.000254223444389172,0.000261581531152456,0.000248578910315555,0.000264158911184212,0.000430344768033344,0.000388292140152162,0.000222311134471538,0.000232875960317718,0.000450478219520809,0.000547276684165104,0.0005737925194621,0.000665859245488752,0.000530018716353535,0.000670156250218625,0.000631611189490827,0.000612503195495152,0.000576430286877188,0.000646412822795654,0.000884397451959783
"Yield (OD600nm per ug/mL malto3)",0.000706792608408017,0.000615326628093957,0.000310986191682163,0.000260403792246326,0.00051378119499245,0.000347086440301729,0.00108444018201887,0.000335929132546717,0.000297589045925925,0.000328565548270481,0.000342254924917508,0.000364217089683719,0.000317174494088469,0.000336881231069761,0.000332642766604258,0.000347625109119083,0.000339754870957667,0.000330349727037957,0.00034071525881425,0.000391678059413122,0.000352523305423122,0.000318004503659667,0.000441407409598627,0.000440873967750903,0.000421458570427067,0.000437369058675939,0.000418564178829704,0.00029174805429631,0.000287917169910449,0.000286255057463114,0.000294139685297332,0.000270021317593026
"Yield algorithmic standard error estimate",0.000231541813739382,7.50741597496977e-05,5.25436072144573e-05,2.33893370306678e-05,3.06904741500609e-05,9.69597006693216e-05,0.00018091533403943,1.60859672694023e-05,1.28520864276971e-05,9.5062854138695e-06,1.35273113163829e-05,9.05048940152912e-06,6.45869781403442e-06,6.35558610972929e-06,6.53953827881139e-06,6.21447275788888e-06,6.60397277960529e-06,5.3793096004168e-06,4.85365175190203e-06,2.77888918089422e-06,2.91094950397147e-06,5.63097774401011e-06,3.4204792760319e-06,3.58620324663813e-06,4.1616202843047e-06,3.3126169772096e-06,4.18847656386641e-06,2.52644475796331e-06,2.45001278198061e-06,2.30572114750875e-06,2.58565129118262e-06,3.53758980783913e-06
"Lag estimate 1 (h)",0.415469184976976,2.30978676512806,2.26876748293309,4.18865824984784,4.48842804142058,4.02570022460518,1.73404606569312,4.66927737351761,5.11574086871765,4.95281334784477,4.16832977694066,4.86055295582246,5.85737434485447,6.11685479338621,6.16660336283776,5.6024081133882,5.81252989744755,7.35939566594149,7.44533400702886,7.39505031659107,7.13172748610868,6.99814521232313,9.46528550375829,9.65447531798705,9.70923751199801,9.62149022318608,9.49220456747608,9.27255519827267,9.40189837246145,9.46446605312784,9.40073632139598,9.51635305137227
"Lag estimate 2 (h)",NaN,0.338028169014085,NaN,4.05633802816901,0.338028169014085,NaN,3.04225352112676,2.70422535211268,4.05633802816901,4.3943661971831,2.02816901408451,4.73239436619718,4.73239436619718,5.40845070422535,5.74647887323944,4.73239436619718,4.73239436619718,6.76056338028169,6.42253521126761,7.09859154929577,7.09859154929577,6.42253521126761,9.46478873239437,9.46478873239437,9.46478873239437,9.46478873239437,8.7887323943662,9.12676056338028,9.46478873239437,9.46478873239437,9.12676056338028,10.8169014084507
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,5,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.210352678941246,0.527515538176696,0.35773587567799,0.704127790674054,0.809582494372321,0.234953247393318,0.729097154690878,0.868479998260509,0.889424129687991,0.947326241451898,0.907499092436551,0.960619793653521,0.972835234923766,0.976520665913649,0.974540501488938,0.979009620357888,0.975205982073929,0.982201799969405,0.986310255723195,0.996568125570732,0.995367245171314,0.979078595667719,0.995874311649777,0.99545523262271,0.993317942141176,0.996057453397493,0.993138207576386,0.994855084741702,0.995029879647758,0.995544283700029,0.994697296963833,0.988301144782677
