Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31
"R (growth rate per h)",0.122017871651431,0.0471900913620466,0.0434196030406418,0.067669143902087,0.0725775422531158,0.0403706862310811,0.00631672143404919,0.104518511168537,0.119100339421473,0.133505387562804,0.232222280823708,0.125986861856415,0.204875184846357,0.279921345706576,0.240226720932083,0.18235240693043,0.219502765771268,0.37406944781039,0.437888574524671,0.478302806016515,0.889817044599393,0.876560586034219,0.886620043343734,0.785998245945357,0.939431457528851,1.40095638636993,1.27737515938497,1.34155102085835,1.33101632814627,1.34072990728915
"R algorithmic standard error estimate",0.0446197724224478,0.0100804721424386,0.012858173786551,0.447847929673713,0.0330523595712652,0.0302311211513327,0.478992775023828,0.0329772506019889,0.0253409068609149,0.00597310973418991,0.0106703538624022,0.0258488180690183,0.0060511442621063,0.0126843097615652,0.00822104857213426,0.0294455033540222,0.252671001439861,0.008281389537654,0.00937366446315145,0.00983247462164062,0.0139679502706892,0.0121378714216628,0.0119197612938815,0.0146954099120956,0.0151481222951716,0.0209424071650216,0.0183088704812989,0.0172165617715324,0.0185809520842385,0.0160122663522744
"K (population size OD600nm)",0.00108530296528211,0.00181416734959921,0.000811128467310521,0.00520806414703768,0.00105065042045042,0.00176572270057191,0.129745560798078,0.00485249911688825,0.00585591730453595,0.00564112187469372,0.0103194773887073,0.0152362995110996,0.0107759049093397,0.011693606245893,0.0106934355152978,0.0282727929479094,0.110675174624325,0.0212908967686916,0.0204050319467863,0.024006481717427,0.0455367646568173,0.0450765722805089,0.0460160376660963,0.0486032740256063,0.049154233744284,0.0724614023752205,0.0719498120530516,0.0703372395245003,0.0694223831884091,0.0747029749452366
"K algorithmic standard error estimate",0.000215067160204296,0.000278642773531407,0.000173383767613206,0.0273520184515364,0.000183824710646519,0.000283178145678435,4.96750020705353,0.000276801305368993,0.000223436427173696,0.000146515638924392,0.000285193373630703,0.00102329790206478,0.000186161191231898,0.000327736168409452,0.000224063483875079,0.0015189950290025,0.0922729619257284,0.000287743585841152,0.000274069861194652,0.000307127937120025,0.000461070019794209,0.000405021468874205,0.000402707719705325,0.00056211528588049,0.000512795464378591,0.000713988303379401,0.000671559171002603,0.000600088827164483,0.000641437038237969,0.000584902396130072
"Yield (OD600nm per ug/mL malto3)",0.000434121186112843,0.000725666939839682,0.000324451386924208,0.00104161282940754,0.000210130084090084,0.000353144540114382,0.0129745560798078,0.000242624955844412,0.000292795865226798,0.000282056093734686,0.000257986934717682,0.000380907487777489,0.000269397622733491,0.000292340156147324,0.000267335887882446,0.000353409911848868,0.00138343968280406,0.000266136209608645,0.000255062899334829,0.000300081021467838,0.000284604779105108,0.000281728576753181,0.000287600235413102,0.000303770462660039,0.000307213960901775,0.000289845609500882,0.000287799248212206,0.000281348958098001,0.000277689532753636,0.000298811899780946
"Yield algorithmic standard error estimate",8.60268640817184e-05,0.000111457109412563,6.93535070452822e-05,0.00547040369030729,3.67649421293038e-05,5.6635629135687e-05,0.496750020705353,1.38400652684497e-05,1.11718213586848e-05,7.32578194621958e-06,7.12983434076758e-06,2.55824475516195e-05,4.65402978079744e-06,8.19340421023629e-06,5.60158709687699e-06,1.89874378625313e-05,0.0011534120240716,3.59679482301439e-06,3.42587326493316e-06,3.83909921400031e-06,2.88168762371381e-06,2.53138418046378e-06,2.51692324815828e-06,3.51322053675306e-06,3.20497165236619e-06,2.8559532135176e-06,2.68623668401041e-06,2.40035530865793e-06,2.56574815295188e-06,2.33960958452029e-06
"Lag estimate 1 (h)",2.24080452756601,10.884156782829,5.27589265197365,-2.95840193722565,3.94515712798948,2.23632560414142,-184.927632676586,3.77124476604113,4.16848230829377,4.41394913851762,5.46834538126886,1.66521315237478,5.40139224117991,5.97588725563696,5.95966567204061,2.02538575570689,-19.2579643267186,6.94189690335651,6.87447441295071,6.96109423210856,8.20355807850677,8.43035577491083,8.58485889374613,7.73036975724067,8.41396350578641,9.00645620755009,8.99620432781624,9.37962517060421,9.1946081645486,9.17936921586987
"Lag estimate 2 (h)",1.69014084507042,0.338028169014085,NaN,NaN,NaN,NaN,0.338028169014085,2.02816901408451,2.70422535211268,4.73239436619718,4.73239436619718,3.04225352112676,5.07042253521127,2.02816901408451,6.76056338028169,3.71830985915493,3.04225352112676,6.08450704225352,6.76056338028169,5.74647887323944,7.77464788732394,8.11267605633803,8.11267605633803,6.42253521126761,8.11267605633803,8.45070422535211,8.11267605633803,8.7887323943662,8.45070422535211,8.7887323943662
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,2.5,5,5,5,10,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.33259394098868,0.380669435755683,0.285251665346244,0.20755325788009,0.327165165963093,0.537301749183866,0.230590014207241,0.873358950816469,0.937785389919464,0.957577762826936,0.951351629191789,0.944437125215073,0.980422576667497,0.949693645604033,0.971249673652518,0.965258643545826,0.958387017362497,0.987682296535957,0.987860736754675,0.98895991519629,0.992997824155784,0.994472312704786,0.994751561448671,0.990888989534005,0.992562191588991,0.993349112579224,0.994026281791874,0.995003012271192,0.994145285032914,0.995788219920993
