Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29
"R (growth rate per h)",0.0704169277790846,0.0957675733547253,0.0684377087137982,0.0805767564192411,0.105015574482234,0.109568812443978,0.137319959566532,0.143844642511386,0.236300298961125,0.267287394185412,0.234991875294282,0.252565771936082,0.216125205210819,0.426717115330556,0.399751240627722,0.379624201123503,0.429633898474091,0.42340982585954,0.769964462993994,0.741005430139358,0.721237674568151,0.739633647264144,0.762446339099975,1.26713443628885,1.25171017108083,1.17038671732591,1.15546179327218,1.13242165379165
"R algorithmic standard error estimate",0.0147082331873214,0.0218068558528357,0.0114749373481248,0.00915967725332987,0.00616256264760637,0.00693920758949908,0.010393875171025,0.00974216265114285,0.00883275842624546,0.00812614665182172,0.00745131795243833,0.00672666711457177,0.0039879400881258,0.00645311731277891,0.00858373379379892,0.00733637399111056,0.00790672541421173,0.00714039627778754,0.0120149915688097,0.0123373258512649,0.0128586496068718,0.0128573485981803,0.0131961592107375,0.018985910327169,0.0197319580766888,0.0204278227488054,0.0186926630194255,0.019314906262191
"K (population size OD600nm)",0.00200656072548041,0.00156124699369517,0.00203830146226045,0.00318741333183875,0.00420334789925751,0.00451896399649724,0.00409007710906236,0.00349840658546799,0.00814977990784239,0.00888894118957009,0.00923747512461145,0.0102749046475836,0.00922060859024478,0.0202617756289506,0.0212504765631498,0.0197518734733247,0.0204684469038566,0.0209064136069708,0.0392045780773294,0.0404170801517119,0.0403947375768688,0.0406155218103444,0.0399139539804587,0.0658854707438344,0.0675302483028705,0.0659705168371688,0.0642235663683192,0.0639960528821834
"K algorithmic standard error estimate",0.000242985856575733,0.000237681522946106,0.000215486608673722,0.00021817708333746,0.000150607121870108,0.000172137318536335,0.000201497196884178,0.000162057272118119,0.00019799716632989,0.000180460125692022,0.000187844551587889,0.000175350290720054,0.000110024970226266,0.000200062903981637,0.000291343060293065,0.000244658822893377,0.000245956212738379,0.00023039345550516,0.000411653770812146,0.000445735722450947,0.000473537762985305,0.000466481530674988,0.000460593764706293,0.000673446468341941,0.00072233134226849,0.000774177367959339,0.000694973156510775,0.000718329945005759
"Yield (OD600nm per ug/mL malto3)",0.000200656072548041,0.000156124699369517,0.000203830146226045,0.000159370666591937,0.000210167394962876,0.000225948199824862,0.000204503855453118,0.000174920329273399,0.00020374449769606,0.000222223529739252,0.000230936878115286,0.000256872616189589,0.00023051521475612,0.000253272195361882,0.000265630957039373,0.000246898418416558,0.000255855586298207,0.000261330170087136,0.000245028612983309,0.000252606750948199,0.00025246710985543,0.000253847011314653,0.000249462212377867,0.000263541882975337,0.000270120993211482,0.000263882067348675,0.000256894265473277,0.000255984211528734
"Yield algorithmic standard error estimate",2.42985856575733e-05,2.37681522946106e-05,2.15486608673722e-05,1.0908854166873e-05,7.53035609350542e-06,8.60686592681676e-06,1.00748598442089e-05,8.10286360590596e-06,4.94992915824726e-06,4.51150314230054e-06,4.69611378969723e-06,4.38375726800134e-06,2.75062425565666e-06,2.50078629977046e-06,3.64178825366332e-06,3.05823528616721e-06,3.07445265922974e-06,2.8799181938145e-06,2.57283606757591e-06,2.78584826531842e-06,2.95961101865815e-06,2.91550956671867e-06,2.87871102941433e-06,2.69378587336777e-06,2.88932536907396e-06,3.09670947183736e-06,2.7798926260431e-06,2.87331978002304e-06
"Lag estimate 1 (h)",3.20102910703957,4.50898441752194,5.12589175888618,5.04636960366607,5.45229799229524,5.18056061533646,5.99756693117779,6.62925994321938,6.60065349458814,7.30323391046169,6.77584123775355,6.90634274136801,7.42034698573674,8.25536957244731,8.04534223500686,8.07086882112934,8.27247440079893,8.47556694560505,9.67806573419729,9.44335848275952,9.30890780083747,9.38495247643274,9.47823677132473,10.2981430925404,10.2766578128646,10.1492259495963,9.89120810850713,9.38336533986521
"Lag estimate 2 (h)",NaN,NaN,6.08450704225352,5.07042253521127,5.40845070422535,5.74647887323944,6.76056338028169,6.76056338028169,6.76056338028169,6.42253521126761,6.42253521126761,6.42253521126761,6.76056338028169,8.11267605633803,8.45070422535211,8.11267605633803,8.45070422535211,8.45070422535211,9.46478873239437,8.7887323943662,9.12676056338028,9.12676056338028,9.12676056338028,9.80281690140845,9.46478873239437,9.46478873239437,9.12676056338028,8.7887323943662
"malto3 concentration used for this datapoint (ug/mL)",10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.514945408420693,0.391992353064835,0.572406663699135,0.762368904865004,0.920836501845476,0.911798530053439,0.859107837348635,0.872590129099999,0.961454921884926,0.972617536413675,0.972642391370065,0.980551494126106,0.99035612830157,0.993340559894877,0.987242206380296,0.989562242303842,0.990167689547468,0.991708649439863,0.992449971540953,0.991677645430219,0.990607050921541,0.990980192759394,0.990895421738678,0.992848202324905,0.99217513359888,0.990596764009122,0.991988057735314,0.991381545512047
