Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32
"R (growth rate per h)",0.0291527215658648,0.251240260296602,0.0632637678885376,0.0438698499942031,0.0498674695153315,0.0562252687881487,0.0940457339309526,0.0525562174974752,0.107871314598982,0.105381192123338,0.126020321449281,0.215156911155263,0.188291885844728,0.219014914599388,0.250972238473651,0.180940744938166,0.389953344988247,0.379335723373271,0.371080792898616,0.366508136333668,0.342428350271046,0.809439171444324,0.796441157736466,0.780876552209728,0.749511451866934,0.720211568695953,1.19906808750068,1.20441408579256,1.13677244585232,1.16555950638649,1.06610655021852
"R algorithmic standard error estimate",0.469982639727858,6.6056052834823,0.0121757428087092,0.00863461646809184,0.012594487704325,0.00720362772328078,0.0102397438802653,0.0108407543790517,0.00846859802217794,0.00788954266661203,0.00806525285515315,0.00831526289799639,0.00854671977606744,0.00722693479023062,0.00973963034878217,0.00629137060506421,0.00707578622277158,0.00778499960563814,0.0079441979627033,0.00686815712665258,0.00601511678582908,0.0125506102517822,0.0132028599890237,0.0130055983668306,0.0122775655874333,0.0116320056138207,0.0154024966962315,0.0136426906457741,0.0157883354596118,0.015035394910243,0.0154504590168973
"K (population size OD600nm)",0.424153595196773,0.08070753873668,0.00166275059446495,0.00135072501229036,0.00142348028559603,0.00167333994111046,0.00288766917087442,0.00160285001466562,0.00339295341322303,0.00332222093831279,0.00408230048816008,0.00832047314595779,0.00814222879493847,0.00831571338640569,0.00881575209806707,0.0102321314460593,0.01954597741232,0.0198703938873372,0.0218432698613822,0.0197163618503613,0.0221315199380233,0.0445227004288829,0.0451984329492146,0.0432566083087268,0.0442213009088249,0.0473897357732292,0.0680511124031947,0.0683229096918247,0.0657307798862819,0.0666143831154715,0.0662630638005989
"K algorithmic standard error estimate",3.44099949453465,2.06142689980575,0.000219478241653379,0.000186074691036432,0.000240435735201689,0.000149636751665618,0.000221920510306189,0.000231905338792074,0.000186754835447116,0.000174307833084275,0.000183685450716188,0.000225229767539412,0.000255183755155663,0.000193496450088677,0.00024555726466559,0.000235039773060566,0.00024439785623658,0.000282421393468544,0.000318446104145107,0.000253203314890044,0.000260867502512033,0.000487121189332729,0.000526449117438581,0.000512002425234591,0.00050539178990106,0.000533380849594707,0.000626447661876813,0.00055681055606332,0.000657890200880109,0.000613455479804321,0.000678257071524456
"Yield (OD600nm per ug/mL malto3)",0.169661438078709,0.032283015494672,0.000166275059446495,0.000135072501229036,0.000142348028559603,0.000167333994111046,0.000144383458543721,8.0142500733281e-05,0.000169647670661151,0.00016611104691564,0.000204115024408004,0.000208011828648945,0.000203555719873462,0.000207892834660142,0.000220393802451677,0.000255803286151484,0.000244324717654,0.000248379923591715,0.000273040873267277,0.000246454523129516,0.000276643999225291,0.000278266877680518,0.000282490205932591,0.000270353801929543,0.000276383130680156,0.000296185848582682,0.000272204449612779,0.000273291638767299,0.000262923119545128,0.000266457532461886,0.000265052255202396
"Yield algorithmic standard error estimate",1.37639979781386,0.824570759922299,2.19478241653379e-05,1.86074691036432e-05,2.40435735201689e-05,1.49636751665618e-05,1.10960255153094e-05,1.15952669396037e-05,9.33774177235579e-06,8.71539165421373e-06,9.18427253580939e-06,5.63074418848529e-06,6.37959387889157e-06,4.83741125221693e-06,6.13893161663976e-06,5.87599432651416e-06,3.05497320295725e-06,3.5302674183568e-06,3.98057630181383e-06,3.16504143612556e-06,3.26084378140042e-06,3.04450743332955e-06,3.29030698399113e-06,3.20001515771619e-06,3.15869868688163e-06,3.33363030996692e-06,2.50579064750725e-06,2.22724222425328e-06,2.63156080352044e-06,2.45382191921728e-06,2.71302828609782e-06
"Lag estimate 1 (h)",-44.5281231832943,-24.2236741897088,7.11311057974123,8.62300260635813,6.62466690124617,8.3395798629135,8.94593477835164,8.70862427701294,8.83679739887464,8.81787533995946,9.10825530694191,9.82796317937166,9.83439827220364,10.0063027559923,10.3507059973094,9.52548346008969,10.5033940495655,10.9164533484593,10.8341655269033,10.6393853088189,10.7291334948883,11.8863715322023,11.8630250754524,12.2025784969233,11.7682439399661,12.2072984570454,12.644714901973,12.8001452030902,12.9474504676217,12.5230549621213,12.4713116036142
"Lag estimate 2 (h)",4.3943661971831,0.338028169014085,8.7887323943662,12.169014084507,6.42253521126761,9.80281690140845,11.4929577464789,11.1549295774648,9.80281690140845,8.7887323943662,9.80281690140845,11.1549295774648,11.1549295774648,10.8169014084507,11.830985915493,10.8169014084507,10.4788732394366,10.8169014084507,9.80281690140845,9.80281690140845,9.80281690140845,11.1549295774648,11.1549295774648,11.1549295774648,10.8169014084507,9.80281690140845,11.830985915493,12.5070422535211,12.5070422535211,12.169014084507,11.830985915493
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.696427329602957,0.643229749679053,0.456943790000468,0.433844192381896,0.340243319748199,0.645451430816371,0.710974513710668,0.410080293724212,0.827576375443807,0.840797629656719,0.877697763426021,0.951881942188383,0.93653065970001,0.96398943234675,0.949185964818339,0.964871821689124,0.98933829018302,0.986292021830978,0.985612566720508,0.988772062890819,0.990564701409077,0.991893193166535,0.990831219550317,0.990556961679639,0.991175617502736,0.991545322176338,0.994304768697614,0.995540453150154,0.993313200098006,0.994293593840007,0.992994736022026
