Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28
"R (growth rate per h)",0.0379371734964347,0.0611372815488772,0.103516211773562,0.10892661705919,0.11092426676423,0.111304977019793,0.119130005948066,0.187621661334279,0.555644387498014,0.183653132342081,0.22667597885591,0.200847900486155,0.410581682092234,0.431488003046481,0.416295426853731,0.404029769986025,0.401854873491509,0.713938168682978,0.711769636286638,0.672961750596735,0.698023406685653,0.763301947966806,1.16538275693058,1.21513978952326,0.843718617662518,1.07474848254373,1.11300002142063
"R algorithmic standard error estimate",0.0105865667415086,0.00648012705379802,0.00581283487866677,0.0048330198593863,0.00474796808865989,0.00491444544467872,0.00601784996800667,0.00438643997032615,0.014417443521457,0.00479890344139736,0.00598025300870179,0.00721401281371971,0.00747425951074766,0.00787184250254049,0.00811266653453331,0.0102885524517694,0.00859743097466644,0.012520196728754,0.0124065251292072,0.0148702851897875,0.0133462940037058,0.0127273661552495,0.0192277157063094,0.0186543472943445,0.0118399342966075,0.0180419990866325,0.0168593431553544
"K (population size OD600nm)",0.00323143506578287,0.00244823568233295,0.00444433341278791,0.00456053609558654,0.00515817539550252,0.00501184653987085,0.00514968649348633,0.0114522409265243,0.0183680586915901,0.0113989683830446,0.0102848316401347,0.0104800729145227,0.0206709387310698,0.0202312764744284,0.020593815732663,0.0190721757630936,0.0209462916634893,0.0394652677975791,0.0389060175230223,0.0397656377342813,0.0404175668009786,0.0391550850241048,0.0653859602820851,0.0677908775068236,0.0475323778246013,0.0582634116396368,0.0630805621964243
"K algorithmic standard error estimate",0.000237175144106924,0.000150252476645454,0.000152608965256027,0.000124378609925946,0.000132090268263086,0.000133563502500955,0.000156432730634219,0.000160305095879681,0.000318210049301548,0.000177042301184513,0.000172492597828961,0.000230925345121699,0.000247072690053053,0.000245636221880103,0.000261310329059826,0.000314708935789205,0.000283723796716638,0.00045989402146435,0.00045287322946446,0.000571261461661832,0.000505020841392738,0.00043752023074066,0.000731470306429778,0.000705877157986181,0.000445550585825073,0.000662560092631608,0.000637260046891841
"Yield (OD600nm per ug/mL malto3)",0.000323143506578287,0.000244823568233295,0.000222216670639396,0.000228026804779327,0.000257908769775126,0.000250592326993543,0.000257484324674316,0.000286306023163108,0.000459201467289753,0.000284974209576116,0.000257120791003367,0.000262001822863068,0.000258386734138372,0.000252890955930355,0.000257422696658287,0.00023840219703867,0.000261828645793616,0.000246657923734869,0.00024316260951889,0.000248535235839258,0.000252609792506116,0.000244719281400655,0.000261543841128341,0.000271163510027294,0.000190129511298405,0.000233053646558547,0.000252322248785697
"Yield algorithmic standard error estimate",2.37175144106924e-05,1.50252476645454e-05,7.63044826280136e-06,6.21893049629728e-06,6.60451341315428e-06,6.67817512504775e-06,7.82163653171095e-06,4.00762739699203e-06,7.95525123253871e-06,4.42605752961283e-06,4.31231494572402e-06,5.77313362804249e-06,3.08840862566316e-06,3.07045277350129e-06,3.26637911324782e-06,3.93386169736507e-06,3.54654745895797e-06,2.87433763415219e-06,2.83045768415288e-06,3.57038413538645e-06,3.15638025870461e-06,2.73450144212912e-06,2.92588122571911e-06,2.82350863194472e-06,1.78220234330029e-06,2.65024037052643e-06,2.54904018756736e-06
"Lag estimate 1 (h)",2.61859213729999,4.17306566339789,5.77658992855175,5.81334817894667,5.50932539002584,5.61386153898042,5.35446027383545,6.67259253935507,7.26835691081782,6.53248293146883,7.15960979947733,6.7025034615096,8.73622468442563,8.86539251007894,8.35988380931037,7.96996745588992,7.67658756127819,9.62368925746033,9.74895032203028,9.17130364422908,9.25432624121496,9.56361093047754,10.4406032195489,10.4259212746774,9.90615464229421,10.2380105887477,9.87828281132096
"Lag estimate 2 (h)",2.36619718309859,5.40845070422535,6.08450704225352,5.40845070422535,5.40845070422535,5.74647887323944,5.40845070422535,6.76056338028169,7.09859154929577,5.40845070422535,7.43661971830986,6.42253521126761,8.11267605633803,8.45070422535211,7.77464788732394,6.76056338028169,7.09859154929577,8.7887323943662,9.46478873239437,8.7887323943662,8.7887323943662,9.46478873239437,9.80281690140845,9.80281690140845,9.46478873239437,9.12676056338028,9.12676056338028
"malto3 concentration used for this datapoint (ug/mL)",10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.888067770136862,0.802480255141334,0.926520089017755,0.952332046304234,0.957915792807796,0.954514516078923,0.94190827308438,0.986819265784546,0.979916107365107,0.983840902740276,0.981157082162143,0.968011857320453,0.990251225528959,0.989943786167856,0.9890422072565,0.981646929335834,0.987570272582439,0.990717628911244,0.990738838996517,0.985960265197518,0.989342091363449,0.991458401779179,0.991454893808449,0.992587636413332,0.99397672298325,0.991164251838759,0.99301050730668
