Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41
"R (growth rate per h)",0.0238398632547966,0.0267258419267273,0.0191084520370062,101.610775234553,0.0327506700019555,0.0295159339285127,0.0309269183193294,0.0405543868181757,28399.2442836777,0.0427082278191572,1399.71883113984,0.0755046304915477,0.0705213651057335,1.60345726326136,0.0824138085376979,0.147938254463049,0.154254843981434,0.15346122265321,0.144997376103863,0.133324246528767,0.287076216326161,0.290038162176322,0.28835653004511,0.27452708172969,0.286615033712999,0.508924745936164,0.486719930975242,0.508185239863337,0.51627884605105,0.530660522029177,1.2066134923137,1.08072981531616,1.08258442529419,1.05085550640168,1.1084217696353,1.07999548188073,1.06575938836245,1.120892035598,1.12038501591184,1.19214435296908
"R algorithmic standard error estimate",0.00890696546357857,0.0100545599588035,0.00777065364350113,411.72033769752,0.0108832183598552,0.00866799521270491,0.0080396173589462,0.0142492880689712,54781.5142304473,0.0142409936729468,3301.41993477346,0.0167899886935985,0.0159344610161974,0.50438524647238,0.0131477064760261,0.00470682493090092,0.00554682835637127,0.00534359421731127,0.0203522081507695,0.0230389689933065,0.00611581158952763,0.0064079789010532,0.00588216055520885,0.00626346728974749,0.00474460433763948,0.00994476947941541,0.0106255455943723,0.0104301390751427,0.00875029462607633,0.0107169007492835,0.0189269769001811,0.0159894818922138,0.0155190933207943,0.0161665451093874,0.0174580850286162,0.0153878969345761,0.0153582287657636,0.0166765755091676,0.0163453741846332,0.0166091591615444
"K (population size OD600nm)",0.00230347980157997,0.00240993485151862,0.002743282763922,10.5523027818337,0.00315671118776533,0.00305345062616605,0.00298161151546198,0.00252535838011291,4643.12116923408,0.00316201028910096,231.876413839636,0.00444262588178284,0.00538187807071627,0.127603314729742,0.00481976395289164,0.00732145594818973,0.00751727182939626,0.00750188636423148,0.00782620503121039,0.00912602848294601,0.0138116868800648,0.0135726756010829,0.013555934507881,0.0140023143067782,0.0150897789449857,0.0241076142983103,0.02411583506972,0.0243236156290042,0.0248700482851808,0.0286710499924692,0.0615069761884651,0.0614669456872511,0.0600957311235579,0.0632013133362645,0.0622331524911944,0.0582591948030932,0.0613034869463576,0.0586028236285633,0.0570299385451923,0.060199504512483
"K algorithmic standard error estimate",0.000202504095922281,0.000216963809870152,0.000357543002000642,40.0693937711131,0.000278225337623908,0.00025561789352127,0.000213099420531646,0.000197264574621495,8102.84837139119,0.000265469072776017,494.042323068291,0.000196995983473391,0.000315112463500822,0.0127972644550451,0.000161867151947988,0.000134317118204204,0.000156831873046302,0.000151092276201742,0.000198614833162975,0.000323648923736619,0.000176821367839539,0.000182810361292794,0.000168898481982126,0.000190415827250825,0.000147754963049839,0.000296378498453833,0.000328177496028955,0.000315280042791776,0.000266734391395924,0.000353772374805428,0.000643512617628527,0.00061203443381959,0.000585569124933804,0.000652472448924992,0.00065825858415878,0.000568870238212958,0.000595207567513318,0.000589614791685814,0.000556898873899127,0.000576664810209083
"Yield (OD600nm per ug/mL malto3)",0.000921391920631986,0.000963973940607447,0.0010973131055688,4.22092111273348,0.00126268447510613,0.00061069012523321,0.000596322303092396,0.000505071676022582,928.624233846816,0.000632402057820192,23.1876413839636,0.000444262588178284,0.000538187807071627,0.0127603314729742,0.000481976395289164,0.000366072797409487,0.000375863591469813,0.000375094318211574,0.00039131025156052,0.0004563014241473,0.000345292172001621,0.000339316890027072,0.000338898362697025,0.000350057857669456,0.000377244473624643,0.000301345178728879,0.0003014479383715,0.000304045195362552,0.00031087560356476,0.000358388124905865,0.000384418601177907,0.000384168410545319,0.000375598319522237,0.000395008208351653,0.000388957203069965,0.000233036779212373,0.00024521394778543,0.000234411294514253,0.000228119754180769,0.000240798018049932
"Yield algorithmic standard error estimate",8.10016383689123e-05,8.67855239480607e-05,0.000143017200800257,16.0277575084452,0.000111290135049563,5.11235787042539e-05,4.26198841063292e-05,3.9452914924299e-05,1620.56967427824,5.30938145552033e-05,49.4042323068291,1.96995983473391e-05,3.15112463500822e-05,0.00127972644550451,1.61867151947988e-05,6.71585591021022e-06,7.84159365231511e-06,7.55461381008708e-06,9.93074165814877e-06,1.61824461868309e-05,4.42053419598848e-06,4.57025903231986e-06,4.22246204955314e-06,4.76039568127062e-06,3.69387407624597e-06,3.70473123067291e-06,4.10221870036194e-06,3.9410005348972e-06,3.33417989244905e-06,4.42215468506785e-06,4.02195386017829e-06,3.82521521137244e-06,3.65980703083628e-06,4.0779528057812e-06,4.11411615099237e-06,2.27548095285183e-06,2.38083027005327e-06,2.35845916674326e-06,2.22759549559651e-06,2.30665924083633e-06
"Lag estimate 1 (h)",4.43732895386905,3.80415686358289,2.257264109962,29.954565386693,2.95614874917683,2.50822207623798,2.61542077416139,2.99275551295585,45.6090957066696,2.54054691318954,43.8115205956666,3.83287765121693,2.40816181131411,1.17319092043845,3.24353189818478,4.8111441559914,4.90549304427182,4.84172861243115,4.61889506930627,4.29366383646168,5.76584805591439,6.04798283323171,6.12084410567364,5.78163102752977,5.70370084887552,7.03238615737573,6.95262247145248,7.19896725222598,7.29123024599207,6.73458486580068,9.36011797726069,10.2289919271863,10.4818503841759,10.391715167084,10.0866957649908,10.6536451173459,10.3250398975587,9.99498296856634,9.48149885112521,10.4541227409358
"Lag estimate 2 (h)",7.43661971830986,6.08450704225352,6.76056338028169,4.73239436619718,5.07042253521127,5.74647887323944,5.74647887323944,5.40845070422535,5.07042253521127,4.73239436619718,5.74647887323944,5.74647887323944,4.3943661971831,2.36619718309859,4.3943661971831,5.74647887323944,6.08450704225352,5.40845070422535,5.74647887323944,6.08450704225352,5.74647887323944,6.42253521126761,6.42253521126761,5.74647887323944,6.08450704225352,6.76056338028169,7.09859154929577,6.76056338028169,7.09859154929577,6.76056338028169,9.46478873239437,10.1408450704225,9.80281690140845,10.1408450704225,9.46478873239437,10.1408450704225,9.80281690140845,9.46478873239437,9.46478873239437,10.4788732394366
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,10,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.801424677421567,0.803590931614524,0.806324042401611,0.492926764660215,0.845670121565246,0.879862869674854,0.901968668496676,0.833665177071428,0.648413067701314,0.848101715341733,0.546331068647665,0.927215396886893,0.924641745821313,0.881308919059289,0.96092645259251,0.978214013875882,0.971953874630367,0.973844275760308,0.971286706426799,0.952964008746703,0.989097187575445,0.987901747813188,0.98961978347579,0.987709252488824,0.99359571022003,0.989794516390238,0.987528995878892,0.988652016049611,0.992196775365267,0.989737492334909,0.992504566492342,0.993214573526736,0.993503961852383,0.992719306433837,0.992345821002358,0.99347863491753,0.993549004894749,0.993065651300562,0.993463697443824,0.993714273787045
