Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40
"R (growth rate per h)",0.208890039839848,0.0640434582919336,0.0129833325170501,0.388105978348883,0.112733349264449,0.0566554292621914,6.79711425599564,1.38670796607107,0.0601337999763211,0.0793624222941881,0.119060622446467,0.0900625162579251,0.153375633300316,0.151911785632607,0.083349243909817,0.249087108529973,3.90884207786488,0.244153864748273,0.197845880216841,3.29125974329624,0.304963466536194,0.588342901172991,0.646976783574088,0.423030941326289,0.543387228947178,5.04880937798784,1.55201363551869,0.589676047688502,3.0646659062207,1.11437491385452,1.1254247397125,1.2027578353895,1.06788492476449,1.25717200997472,1.25818314662979,0.930309801078382,1.30174082091505,1.27797397372459,1.30265099135421
"R algorithmic standard error estimate",0.0590696204709289,0.0106819279130664,0.0129646481314607,0.153980897052196,1.80784203723753,0.00923263955767378,199.447603761276,0.0367742766279743,0.0354252444384659,3.12919242371477,0.00852439546031746,0.0054583710260523,0.0082217196974976,0.0109567780192904,0.0181800124498111,0.0103460152650799,139.012704652287,0.0139205128556761,0.0103610838196888,0.250644686885056,0.0205696332172933,0.0247842442949249,0.0311194048039474,0.0141483658357142,0.0123440897619059,0.428292341660031,0.0837701592075267,0.0148477333002531,0.255667117759163,0.0158683502637724,0.0159421572063267,0.0170379670493,0.0201449482659254,0.0189145587493143,0.0186820407835937,0.0867625414091238,0.0185617456317088,0.0181685726792772,0.0203806304095369
"K (population size OD600nm)",0.0350897778374601,0.00150419718709104,0.00175276047120592,0.0199804565993406,0.0685909549911959,0.0021866406703589,168.202955070176,0.0475815597037389,0.00262422395729907,2.1339024800997,0.00377480384838687,0.00323021104262533,0.0053730096137525,0.00365436112017977,0.00381893835080341,0.00825927869389352,62.6950425194424,0.00631350919309312,0.00726803275456476,0.0790178278516326,0.0193055504439783,0.0156743595849648,0.0150518134002421,0.013289164092652,0.0253861043231925,0.0815579454766863,0.0359407122669333,0.0249519114797141,0.0544927978102909,0.0609960463416091,0.0631123351261712,0.0603907725661996,0.0636970976468779,0.0649958486063297,0.063258029314324,0.0691978364006379,0.0623865809288999,0.0624040951441598,0.066070571761827
"K algorithmic standard error estimate",0.00322096134924631,0.000159493650321143,0.000595964396547254,0.0013872879493673,1.03401039776111,0.000198330952925778,2488.64046475198,0.000763370336921668,0.00029341284371128,42.2702678758592,0.000159745023040714,0.000112528085959191,0.00016998486694843,0.000162047291298795,0.000166754637183316,0.000204820131927102,1138.50883921627,0.000224647706487659,0.000216162121330183,0.00383909632467202,0.000251407656764219,0.00042511121478729,0.000475205325741512,0.00027494133828882,0.00034885352238528,0.0047868830223575,0.00127772568545646,0.000380112933562566,0.00312045066183431,0.000557716600138215,0.000571437767087327,0.00054960590484045,0.000747517601883742,0.000631291219137531,0.000601248905151036,0.0012409873128197,0.000580586828239423,0.000574928654104246,0.000664240053067655
"Yield (OD600nm per ug/mL malto3)",0.014035911134984,0.000601678874836418,0.000701104188482367,0.00799218263973624,0.0274363819964784,0.00043732813407178,33.6405910140351,0.00951631194074779,0.000524844791459813,0.426780496019941,0.000377480384838687,0.000323021104262533,0.00053730096137525,0.000365436112017977,0.000381893835080341,0.000412963934694676,3.13475212597212,0.000315675459654656,0.000363401637728238,0.00395089139258163,0.000482638761099459,0.000391858989624119,0.000376295335006052,0.000332229102316301,0.000317326304039906,0.00101947431845858,0.000449258903336666,0.000311898893496426,0.000681159972628636,0.000381225289635057,0.00039445209453857,0.000377442328538748,0.000398106860292987,0.000406224053789561,0.000253032117257296,0.000276791345602552,0.000249546323715599,0.000249616380576639,0.000264282287047308
"Yield algorithmic standard error estimate",0.00128838453969852,6.37974601284574e-05,0.000238385758618902,0.000554915179746919,0.413604159104442,3.96661905851556e-05,497.728092950396,0.000152674067384334,5.8682568742256e-05,8.45405357517185,1.59745023040714e-05,1.12528085959191e-05,1.6998486694843e-05,1.62047291298795e-05,1.66754637183316e-05,1.02410065963551e-05,56.9254419608133,1.12323853243829e-05,1.08081060665092e-05,0.000191954816233601,6.28519141910547e-06,1.06277803696823e-05,1.18801331435378e-05,6.87353345722051e-06,4.360669029816e-06,5.98360377794687e-05,1.59715710682058e-05,4.75141166953207e-06,3.90056332729289e-05,3.48572875086384e-06,3.57148604429579e-06,3.43503690525282e-06,4.67198501177339e-06,3.94557011960957e-06,2.40499562060415e-06,4.96394925127878e-06,2.32234731295769e-06,2.29971461641699e-06,2.65696021227062e-06
"Lag estimate 1 (h)",2.56447347574777,4.463402490331,1.53045381862037,4.80094136238791,-41.6177596830213,3.26630615553988,2464.80833335202,4.64163044795517,3.04136734865498,706.139526206353,3.86852727761289,3.68015674983891,4.1546838926537,3.81865433636083,2.7747371597398,4.22661235676664,1114.42723400905,4.37199532604819,3.51430551427661,4.61589625857387,4.68517115170624,5.2426037781252,5.22460631382826,4.85453170096087,5.82609534556677,5.26728079481046,5.30128622747166,5.42955788299467,5.40479897534657,8.37515861816424,8.33781016587458,7.97871852159662,7.74365425913544,8.28184061434312,7.86433380143985,6.15467735740327,8.28618525034102,8.13540198014543,8.03380836064072
"Lag estimate 2 (h)",5.74647887323944,8.11267605633803,6.42253521126761,6.08450704225352,2.02816901408451,5.07042253521127,5.07042253521127,4.73239436619718,5.07042253521127,3.38028169014085,5.07042253521127,5.40845070422535,5.40845070422535,5.40845070422535,3.38028169014085,5.07042253521127,5.40845070422535,5.40845070422535,4.3943661971831,4.3943661971831,5.40845070422535,5.74647887323944,6.08450704225352,5.40845070422535,5.74647887323944,5.07042253521127,5.40845070422535,5.74647887323944,5.07042253521127,8.11267605633803,8.11267605633803,8.11267605633803,7.43661971830986,8.11267605633803,7.43661971830986,6.76056338028169,8.45070422535211,8.11267605633803,7.77464788732394
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,10,10,10,10,10,20,20,20,20,20,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.89844373173428,0.5723182051428,0.427635229615248,0.813433814989006,0.823236311425236,0.655981495515929,0.491224620385288,0.98325416063925,0.661069834280648,0.40958642974744,0.895457121700359,0.927224076445948,0.938490758727434,0.885698385699747,0.932755186136112,0.961185767008847,0.226011206872691,0.922647674410491,0.946155825540511,0.864176529976941,0.992767696953671,0.952987580398907,0.937232650113588,0.972318629916155,0.987449232235359,0.811304816583637,0.921656378111297,0.984707180298324,0.818566037058401,0.994275679125873,0.994385928352046,0.994342337557009,0.990624581953138,0.993550361914534,0.993835977481713,0.985666407903191,0.994078710883411,0.994199408434189,0.993101976944175
