Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39
"R (growth rate per h)",0.01793271364059,0.191286747023027,0.0139730223983474,0.0420080744974755,0.0147271882987027,0.0194917315821353,0.0617713760847231,0.130954367217291,0.0652947998821114,0.0455544950736119,0.0554537931067587,0.0407988161485678,0.0465723698346054,0.120036402436591,0.107385854588914,0.124753353230517,0.115332272492824,0.128095400416993,0.249422485706951,0.194770604999179,0.222636086130269,0.228263124066707,0.2330702021395,0.496533020481593,0.458494753054964,0.407283910093962,0.423168404337221,0.443438250384746,0.790395292851337,0.73078434744711,0.793263458118078,0.872054572261967,0.771091022311104,1.20456306693805,1.16221690965256,1.13632809673137,1.22681356167595,1.2528861172467
"R algorithmic standard error estimate",0.097707324286881,11.6463705065991,0.00829802547602648,0.00773650255088049,0.0116718500787178,0.00881906990025535,0.0078087294990643,0.00753668553283426,0.0174103065409747,0.0204187665326554,0.00455174982408173,0.0121669784868019,0.00875516944331017,4.8075205779969,0.0182046501762422,0.0243225526874968,0.0191984779774163,0.019220111993943,0.00904017919510043,0.0238349164107953,0.00571868624047399,0.00758914039248006,0.00820310002210339,0.0110245745900318,0.0100542077996235,0.0102346775337958,0.00882547828834156,0.00895443579739226,0.0159052140532694,0.0132824766113043,0.0161006750846431,0.0189981858603727,0.0142715298322137,0.0156641090609934,0.0201776172512633,0.019004859694412,0.0201390799026535,0.0207544160865198
"K (population size OD600nm)",0.00472664005940593,0.067278194150136,0.00256324409396313,0.00123674010339426,0.00178110722088042,0.00177454370041244,0.00226824974032577,0.00373579040404859,0.00311138944694441,0.00300097355712225,0.00281566034090025,0.00424284405588413,0.00393155306136242,3.64960018712188,0.00583175475865571,0.0067036899636017,0.00629148123235012,0.0075903882147975,0.011490585746613,0.0124441651139588,0.0123779710807451,0.0121140239960527,0.0118249945579874,0.0222165648673588,0.0228975122178918,0.0224550069258709,0.0238757875332586,0.0255410196722748,0.0422250066645785,0.0434031086264772,0.0417619071649329,0.0393559901551159,0.0432915399649937,0.0652901313993668,0.0634768829096362,0.066336667323859,0.0664108720825101,0.0687845643819924
"K algorithmic standard error estimate",0.0209849559831983,4.01984222464859,0.000449117137628143,0.000168238397907217,0.000365508824464049,0.000193502742740588,0.000202425302930579,0.000150299714775394,0.000518359879088129,0.000269889700671086,0.000136240607574916,0.000343968368146575,0.000163420951236783,73.7014605928122,0.000183941189412288,0.000240123375118701,0.000189127352881067,0.000217709734469051,0.000247618432995529,0.000286169537255661,0.000187154490488345,0.000236340965496643,0.00025217248832613,0.000310090682016384,0.000314995669942373,0.000348237341980479,0.000305041127728155,0.000315760892527723,0.000540387206477273,0.000497218119491893,0.000546368822405078,0.000573330849500535,0.000517870035513156,0.000548041590186389,0.000701389595196969,0.000701253238365424,0.000700488358500017,0.000738414242902512
"Yield (OD600nm per ug/mL malto3)",0.00189065602376237,0.0269112776600544,0.00102529763758525,0.000247348020678853,0.000356221444176085,0.000354908740082489,0.000453649948065153,0.000747158080809717,0.000311138944694441,0.000300097355712225,0.000281566034090025,0.000424284405588413,0.000393155306136242,0.182480009356094,0.000291587737932786,0.000335184498180085,0.000314574061617506,0.000379519410739875,0.000287264643665324,0.000311104127848971,0.000309449277018626,0.000302850599901318,0.000295624863949685,0.000277707060841985,0.000286218902723648,0.000280687586573386,0.000298447344165733,0.000319262745903434,0.000263906291653616,0.000271269428915483,0.000261011919780831,0.000245974938469474,0.000270572124781211,0.000261160525597467,0.000253907531638545,0.000265346669295436,0.00026564348833004,0.00027513825752797
"Yield algorithmic standard error estimate",0.00839398239327931,1.60793688985944,0.000179646855051257,3.36476795814434e-05,7.31017648928097e-05,3.87005485481176e-05,4.04850605861157e-05,3.00599429550787e-05,5.18359879088129e-05,2.69889700671086e-05,1.36240607574916e-05,3.43968368146575e-05,1.63420951236783e-05,3.68507302964061,9.19705947061439e-06,1.20061687559351e-05,9.45636764405333e-06,1.08854867234526e-05,6.19046082488822e-06,7.15423843139153e-06,4.67886226220862e-06,5.90852413741607e-06,6.30431220815324e-06,3.8761335252048e-06,3.93744587427966e-06,4.35296677475599e-06,3.81301409660194e-06,3.94701115659654e-06,3.37742004048296e-06,3.10761324682433e-06,3.41480514003174e-06,3.58331780937834e-06,3.23668772195723e-06,2.19216636074555e-06,2.80555838078788e-06,2.8050129534617e-06,2.80195343400007e-06,2.95365697161005e-06
"Lag estimate 1 (h)",-11.205138704043,-29.2630836096526,5.56704976952581,8.44534675901279,4.34451402335575,3.76493105353281,9.88172704836997,8.24638966883473,6.84666474960862,4.36399698936194,5.46754804888905,2.98692271440034,4.51799662897566,796.718344064862,4.25878056785855,4.36258404643561,4.70613491414453,4.40728371350811,5.3108343753085,5.20432315575926,5.79398310678604,5.52251603371463,6.21803565937397,6.74948003803982,7.18571926022442,7.12935913548403,7.00844545783465,7.08328039566524,7.93890753035606,8.14644022527402,8.31773364255581,8.84655206272275,8.72086092841594,8.5060335476317,8.06860280064105,8.15746925205129,8.34430337175101,8.70394129784302
"Lag estimate 2 (h)",0.338028169014085,0.338028169014085,11.830985915493,0.338028169014085,0.338028169014085,0.338028169014085,14.8732394366197,8.45070422535211,7.77464788732394,6.42253521126761,6.76056338028169,0.338028169014085,0.338028169014085,5.40845070422535,4.3943661971831,3.71830985915493,4.05633802816901,4.3943661971831,5.40845070422535,4.73239436619718,4.73239436619718,3.71830985915493,4.05633802816901,6.76056338028169,7.09859154929577,6.42253521126761,6.08450704225352,6.42253521126761,7.43661971830986,7.77464788732394,7.77464788732394,7.77464788732394,8.11267605633803,8.45070422535211,7.43661971830986,7.77464788732394,7.77464788732394,7.43661971830986
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,2.5,5,5,5,5,5,10,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.408970007958126,0.478722095107066,0.643975542109509,0.501941686249775,0.473282524636525,0.738969787808589,0.645400460155802,0.900118134275176,0.345983316066369,0.753238468059201,0.864464702993167,0.872053543689378,0.94199043311538,0.463705219430188,0.958029457295442,0.945666708321325,0.960021746061628,0.965841206663222,0.969919663042986,0.976742515085216,0.984836219920726,0.975116207827555,0.970140719440962,0.98692130019169,0.987233216167602,0.983824021058119,0.988972249678631,0.989657749424785,0.988870580998796,0.99104541400906,0.988355969495658,0.98558973889883,0.990230179844976,0.995169516763585,0.991673086427021,0.992365735576992,0.992398179045324,0.992118212083149
