Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38
"R (growth rate per h)",0.0173199094737856,0.0125254438304685,0.0338997010924859,0.0154504486493379,0.0472774357144806,0.0378765610103445,0.0279539519534949,0.0179853405476548,0.0192905942419869,0.0497780605881788,0.0265495999783974,0.0695158638596856,0.069025638117231,0.0555712400771676,0.0591623500535416,0.0604713772217004,0.0750745750502803,0.190144243642537,0.227123779504252,0.193791908310216,0.174366696756887,0.1977229195466,0.428265752001877,0.385786007209847,0.430666608536331,0.387585342109446,0.38106067731823,0.824798353982516,0.795714185775425,0.822920792065754,0.801447391452734,0.819119269264262,1.40058066825108,1.46019116079875,1.3400344421502,1.40001465143387,1.32234674473485
"R algorithmic standard error estimate",0.00491032375191259,0.00704521639277408,0.00179567374972376,0.00910735230290838,0.00318545958005781,0.00110210605426873,0.000883770901272929,0.44702918392835,0.00517223879388991,0.0156284506776443,0.00479234729286997,0.0101995797643615,0.0107376058064601,0.00453416624956764,0.00492077418409126,0.00467619303117841,0.00384001803707233,0.00469846472802497,0.00721786036966835,0.0159891610056269,0.00674730685677746,0.00352360836617452,0.00746726377693899,0.00714563834569707,0.00748297760211055,0.00724147176266653,0.00732432495719592,0.0126423217453667,0.0116330139921012,0.012497121426951,0.0124338999866033,0.0141998700514106,0.0237327803181807,0.0235604323881734,0.0215972517127709,0.0199366257993697,0.0188691464626852
"K (population size OD600nm)",0.00237570979631944,0.00154275418867253,0.00100376602168955,0.00184056273223335,0.00117028626525986,0.00102558882067518,0.00103128153071703,0.0243606083165382,0.0023116922567903,0.000595566177449397,0.00787490853556484,0.0018178550014874,0.00557182928685573,0.00716648408119766,0.00714718743273061,0.00596859698498635,0.00821820376440236,0.0119039405929986,0.00906881198222978,0.0126544182917597,0.0108128315765106,0.0120022651579087,0.0241353481228146,0.0221204370042396,0.0222976795479476,0.0214670142510881,0.0220187344435605,0.0451823564802613,0.0446216522581392,0.0450146281684633,0.0453744432788718,0.0453118142303729,0.0716355723526872,0.0759338351426712,0.0725221556011652,0.0776155710599619,0.0721931875446728
"K algorithmic standard error estimate",0.000520043234453392,0.00022390564600501,3.68461953689959e-05,0.00035632495661511,5.3963393283891e-05,2.05857128749005e-05,2.31767267733138e-05,0.513392712428114,0.000168356566274707,0.000113974824548245,0.000624910800178506,0.000166088037255171,0.000175501078853451,0.000148052223359637,0.000147303682395137,0.000102677407330175,9.839039303891e-05,0.000172062449416534,0.000189053620343001,0.000187928960408554,0.000246168244036247,0.000127577225184672,0.000256462092887483,0.000256173232172991,0.000247438746809218,0.000250541733754187,0.00026191243639031,0.000441114755999276,0.000423120394657654,0.00044363014449884,0.000455272388916878,0.000509472521149578,0.00079680063010516,0.000821586046156391,0.000761719094275082,0.000727233339915692,0.00067672934232595
"Yield (OD600nm per ug/mL malto3)",0.000950283918527776,0.000617101675469014,0.000401506408675821,0.00036811254644667,0.000234057253051971,0.000205117764135036,0.000206256306143406,0.00487212166330764,0.00023116922567903,5.95566177449397e-05,0.000787490853556484,0.00018178550014874,0.000278591464342786,0.000358324204059883,0.000357359371636531,0.000298429849249317,0.000410910188220118,0.000297598514824965,0.000226720299555745,0.000316360457293992,0.000270320789412765,0.000300056628947718,0.000301691851535182,0.000276505462552995,0.000278720994349345,0.000268337678138601,0.000275234180544507,0.000282389728001633,0.00027888532661337,0.000281341426052895,0.000283590270492949,0.000283198838939831,0.000286542289410749,0.000303735340570685,0.000290088622404661,0.000310462284239847,0.000288772750178691
"Yield algorithmic standard error estimate",0.000208017293781357,8.95622584020042e-05,1.47384781475984e-05,7.12649913230219e-05,1.07926786567782e-05,4.1171425749801e-06,4.63534535466276e-06,0.102678542485623,1.68356566274707e-05,1.13974824548245e-05,6.24910800178506e-05,1.66088037255171e-05,8.77505394267253e-06,7.40261116798187e-06,7.36518411975687e-06,5.13387036650876e-06,4.9195196519455e-06,4.30156123541336e-06,4.72634050857502e-06,4.69822401021384e-06,6.15420610090618e-06,3.18943062961681e-06,3.20577616109354e-06,3.20216540216239e-06,3.09298433511523e-06,3.13177167192734e-06,3.27390545487887e-06,2.75696722499547e-06,2.64450246661034e-06,2.77268840311775e-06,2.84545243073048e-06,3.18420325718486e-06,3.18720252042064e-06,3.28634418462557e-06,3.04687637710033e-06,2.90893335966277e-06,2.7069173693038e-06
"Lag estimate 1 (h)",16.09809953408,4.55389463609779,8.04806158836872,1.61196083654178,6.73987653945281,7.44778759176347,10.1943550192251,-79.3465157448047,3.59745779781479,3.06436199570282,-1.99185334307537,4.362760470747,5.78740132659493,5.3703902215609,5.21587146548853,5.6751161134694,5.55031839736955,6.11125142671755,7.57753534378055,6.3538950263561,6.23524414045333,6.53726242710117,6.84631260815847,7.72039906951278,7.9296703843165,7.52974897647054,7.43125139671969,8.10919697887616,8.83620007416409,8.73432600039692,8.78301995445423,8.76948197829033,8.80501775003156,9.65525284715655,8.82829193086526,9.28341753559359,9.15151191750811
"Lag estimate 2 (h)",3.71830985915493,9.12676056338028,8.7887323943662,3.38028169014085,0.338028169014085,8.11267605633803,11.4929577464789,2.70422535211268,5.40845070422535,NaN,4.05633802816901,7.09859154929577,5.07042253521127,6.42253521126761,5.74647887323944,5.40845070422535,6.76056338028169,5.40845070422535,8.7887323943662,6.08450704225352,4.3943661971831,6.76056338028169,6.08450704225352,7.43661971830986,8.45070422535211,7.09859154929577,7.43661971830986,7.43661971830986,8.45070422535211,7.77464788732394,8.11267605633803,8.11267605633803,7.77464788732394,8.7887323943662,8.11267605633803,8.7887323943662,8.45070422535211
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,2.5,5,5,5,5,5,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.562098066636838,0.638762736542617,0.915385646894507,0.674277787545292,0.873500084489997,0.973190044094376,0.966325737770988,0.825067129546073,0.891012664378902,0.305104099809002,0.983036912861941,0.644098649492433,0.959810791383291,0.987927615374344,0.987456622375833,0.98919306290581,0.99518537118631,0.986040882384756,0.971113095622121,0.989440757653864,0.966024796069752,0.992368145182323,0.99235706388664,0.990872911745127,0.991611388147764,0.990745888947427,0.990392639226989,0.993485955921916,0.993837361413222,0.993348736190592,0.993105443172912,0.991358707724714,0.991544297518783,0.991987110713706,0.9924508765888,0.993979086700813,0.993974527753867
