Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32
"R (growth rate per h)",0.0495766994340926,0.0510387959786315,0.0482430074786853,0.0580563337166927,0.0677216884425984,0.0392138285383625,0.088893874680321,0.092899219968983,0.0935130833112154,0.121737327820376,0.130792703655944,0.187970633690649,0.209708166580324,0.170623965105019,0.167238544553721,0.183245951867936,0.393024182567712,0.230471893268114,0.38851812333684,0.343759629459326,0.377900273189327,0.844409552959966,0.679757591455468,0.741658735164392,0.751782794554653,0.769735764400373,1.22623783361462,1.2317158970083,1.25207446633191,1.2501300481976,1.21552726687729
"R algorithmic standard error estimate",0.0144175487711516,0.02149774034485,0.0174503032337532,0.00780621213340189,0.0136090600711886,0.0093547370060997,0.00692583820999583,0.0130773453514508,0.00629981360175182,0.00860758775406512,0.00946086686556495,0.00570736634881497,0.00513809053417171,0.0145870250267935,0.0149995146238822,0.0045975237618397,0.00799867385303544,0.0232692147901501,0.00696907757820425,0.00566444565131873,0.00614958598897416,0.0128229811309194,0.0110473671193014,0.0127568149357127,0.012869347313833,0.0139311611856283,0.019467763486216,0.0191705033081466,0.0181926266573161,0.018608905827817,0.0187646519753131
"K (population size OD600nm)",0.000777986017432741,0.000713017603687215,0.00277668556160044,0.00250261786409852,0.00130917509360068,0.00106961601486256,0.00465905092239844,0.00541251118694569,0.00522707188301773,0.00475962188240331,0.00529992345409089,0.0106851994471603,0.0109629805396492,0.0119417649681101,0.0118241524564326,0.0112771514741917,0.0209351522179201,0.0192807675940357,0.0218504017167556,0.0216910003190751,0.022025888492739,0.0415120947292714,0.0379205521668519,0.0412452473717748,0.042116532816747,0.0375550947831596,0.0667121152412003,0.0654901283063249,0.0683065974008428,0.0696275001475218,0.0665302058569953
"K algorithmic standard error estimate",0.000163808772406492,0.000191120244165635,0.000197135181743353,0.000193327981666936,0.000178029084976115,0.00018752214808963,0.000205878650678845,0.000139995754314586,0.000200710964611198,0.000208650775148935,0.000235896466072591,0.000195204155857581,0.000165813460624332,0.000187676893328946,0.000196511505910404,0.000170738489455128,0.000271779894714339,0.000375936779840245,0.000250110732577051,0.000222590629528385,0.000226354506531851,0.000429859888519245,0.000408869135576059,0.000471720887269599,0.000476396544264358,0.000459667759063887,0.000717975996772865,0.000700034973948067,0.00067512532753866,0.000712403611096147,0.000689385772637793
"Yield (OD600nm per ug/mL malto3)",0.000311194406973096,0.000142603520737443,0.000277668556160044,0.000250261786409852,0.000130917509360068,0.000106961601486256,0.000232952546119922,0.000270625559347284,0.000261353594150887,0.000237981094120165,0.000264996172704545,0.000267129986179008,0.000274074513491231,0.000298544124202752,0.000295603811410815,0.000281928786854792,0.000261689402724002,0.000241009594925446,0.000273130021459445,0.000271137503988439,0.000275323606159237,0.000259450592057946,0.000237003451042825,0.000257782796073592,0.000263228330104668,0.000234719342394747,0.000266848460964801,0.0002619605132253,0.000273226389603371,0.000278510000590087,0.000266120823427981
"Yield algorithmic standard error estimate",6.55235089625969e-05,3.8224048833127e-05,1.97135181743353e-05,1.93327981666936e-05,1.78029084976115e-05,1.8752214808963e-05,1.02939325339422e-05,6.99978771572931e-06,1.00355482305599e-05,1.04325387574467e-05,1.17948233036295e-05,4.88010389643952e-06,4.14533651560831e-06,4.69192233322365e-06,4.9127876477601e-06,4.26846223637821e-06,3.39724868392924e-06,4.69920974800306e-06,3.12638415721314e-06,2.78238286910482e-06,2.82943133164814e-06,2.68662430324528e-06,2.55543209735037e-06,2.948255545435e-06,2.97747840165224e-06,2.87292349414929e-06,2.87190398709146e-06,2.80013989579227e-06,2.70050131015464e-06,2.84961444438459e-06,2.75754309055117e-06
"Lag estimate 1 (h)",4.33290799925698,3.93465878677577,3.90865849025652,4.24414433468923,5.37328088701312,7.41588588053738,4.61701979663109,4.89144860477731,4.97030021450429,5.7658877579286,5.70688998459312,6.50589273718368,6.89762898600193,6.6444706012662,6.54541936857029,6.94311765447211,8.02453178027948,8.05433428585216,8.29645273177098,8.04062825155003,8.12149344626148,10.0025434255483,9.61098762208142,9.67661368229439,9.48649452716201,9.6522290514041,10.28241182541,10.6651560834732,10.4254008990428,10.922378155168,9.9436227552096
"Lag estimate 2 (h)",NaN,NaN,5.74647887323944,6.08450704225352,NaN,5.40845070422535,5.40845070422535,4.05633802816901,5.07042253521127,5.74647887323944,5.74647887323944,6.08450704225352,7.43661971830986,7.09859154929577,7.09859154929577,6.76056338028169,7.43661971830986,7.43661971830986,7.77464788732394,7.43661971830986,7.43661971830986,10.4788732394366,8.7887323943662,8.7887323943662,8.7887323943662,9.46478873239437,9.46478873239437,10.1408450704225,10.1408450704225,10.4788732394366,9.12676056338028
"malto3 concentration used for this datapoint (ug/mL)",2.5,5,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.28780031095574,0.274895800856887,0.829224849135469,0.719290914594026,0.445371757298407,0.40942745478819,0.88597806882376,0.970402434603137,0.910805680183962,0.885533088894138,0.882509548456828,0.977814985808608,0.984640593911572,0.988331090816227,0.987090157776742,0.98457333868835,0.988546796530531,0.982575690718229,0.991058691397184,0.992800928074286,0.992783179930927,0.992656491908153,0.992042657050154,0.991056229603065,0.991248971204013,0.989768837405707,0.992079856727506,0.992194033316267,0.993314870494296,0.992856644025411,0.992648750054426
