Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34
"R (growth rate per h)",0.099193931659723,0.270232400890449,0.0999660091870751,0.0599264773625817,0.155949626186068,0.0673278277454044,0.0585126974461574,0.107285027479206,0.163862098546205,0.11890148626416,0.116011612928492,0.181351454594849,0.176569876325447,0.23553389956234,0.254264385574884,0.268324443549689,0.264496390691205,0.280097250075141,0.442537586689142,0.370615438310954,0.437378891846034,0.451226233170044,0.437128888792101,0.895001791249065,0.952500961068726,0.905701841098832,0.915479690961623,0.923416799382339,1.30155936635845,1.26439947718493,1.32347448519879,1.3296032975004,1.30053639707532
"R algorithmic standard error estimate",0.0222811346416938,0.0502878987661064,0.0209793076085089,0.00887289914215369,0.00652089763638434,0.0063476624221699,0.0215661515173905,0.0122706978735932,0.0109545566838492,0.00538162716859524,0.00565964289564712,0.0203136057513912,0.0130584285615934,0.0068845810823422,0.00749312684197043,0.00916865952052439,0.00776932329090534,0.00867985584604944,0.00766361625179205,0.00668274668791499,0.00743055477623276,0.00850666500681915,0.00842566982504828,0.0154086301311721,0.0162437207450264,0.0159837567409537,0.0157822881595243,0.0164081943841849,0.0131511626715678,0.0132317043610193,0.0137532676457227,0.0145495938756585,0.0139910349631002
"K (population size OD600nm)",0.00154627538258301,0.0022171061013999,0.00119598639072354,0.00191991966294606,0.00432407456020311,0.00239478037036023,0.00686693693802992,0.00298633998209461,0.00601074915159175,0.00512102050270994,0.00616273021016414,0.00815001126874052,0.00601503193031985,0.0116309696966616,0.0110090116914051,0.0117293030174125,0.0125169050336643,0.0128376350026042,0.0221014099631507,0.0240938037639175,0.0233667657147121,0.0224593886493296,0.0228013715615451,0.0463514103081872,0.0461313734237676,0.0477525452698357,0.0448837630790795,0.0453103030003115,0.100112366345355,0.0939670299758025,0.102650205671841,0.101394034162561,0.0994774432231256
"K algorithmic standard error estimate",0.000232794133512044,0.000265085660473053,0.000167697014140187,0.000180057497728413,0.000120278647078169,0.000135465787536441,0.000585016743598104,0.000206102823431729,0.000260375161262138,0.000145567680096488,0.000177345056415871,0.000564177477176133,0.000290606300610193,0.000207332380311938,0.000209493887230349,0.000262766065086944,0.000235950699514436,0.000258681313480935,0.000246022469137151,0.000274620988154381,0.000262846482749397,0.00027902957016018,0.000284531049591191,0.000533349206452446,0.000542590677551848,0.000580218684604479,0.000521032062545146,0.000539254810235903,0.000708965134089773,0.000688888521365011,0.000758860563054562,0.000778625696701636,0.00076462625757778
"Yield (OD600nm per ug/mL malto3)",0.000309255076516602,0.00044342122027998,0.000239197278144708,0.000191991966294606,0.000432407456020311,0.000239478037036023,0.000686693693802992,0.000298633998209461,0.000300537457579588,0.000256051025135497,0.000308136510508207,0.000407500563437026,0.000300751596515992,0.00029077424241654,0.000275225292285126,0.000293232575435312,0.000312922625841607,0.000320940875065105,0.000276267624539384,0.000301172547048969,0.000292084571433902,0.00028074235811662,0.000285017144519314,0.00028969631442617,0.000288321083898547,0.000298453407936473,0.000280523519244247,0.000283189393751947,0.000400449465381418,0.00037586811990321,0.000410600822687366,0.000405576136650243,0.000397909772892502
"Yield algorithmic standard error estimate",4.65588267024087e-05,5.30171320946106e-05,3.35394028280375e-05,1.80057497728413e-05,1.20278647078169e-05,1.35465787536441e-05,5.85016743598104e-05,2.06102823431729e-05,1.30187580631069e-05,7.27838400482438e-06,8.86725282079355e-06,2.82088738588066e-05,1.45303150305097e-05,5.18330950779844e-06,5.23734718075874e-06,6.56915162717361e-06,5.89876748786089e-06,6.46703283702337e-06,3.07528086421439e-06,3.43276235192977e-06,3.28558103436746e-06,3.48786962700225e-06,3.55663811988989e-06,3.33343254032779e-06,3.39119173469905e-06,3.626366778778e-06,3.25645039090716e-06,3.3703425639744e-06,2.83586053635909e-06,2.75555408546004e-06,3.03544225221825e-06,3.11450278680654e-06,3.05850503031112e-06
"Lag estimate 1 (h)",4.28485406364452,2.29983727876749,3.4407731944197,5.53923016949455,6.3430839306689,4.57971242021803,7.03821130273555,3.89027136107538,6.78028572361172,6.55175193994356,5.6658217644233,6.25341513063839,6.69807549963301,6.28806035516443,7.44224704395569,7.99375006101807,7.66077418174737,7.94376727543168,7.97076141242652,8.67050834307796,9.32701888465288,8.80915339636963,8.42162259166565,9.51364990620107,10.3661307588117,10.719327161403,9.51632997000238,9.32326069234471,13.0258448758228,12.8859196056644,13.5741543700226,13.0400562718718,13.6809299503582
"Lag estimate 2 (h)",7.77464788732394,1.69014084507042,NaN,6.08450704225352,6.76056338028169,4.73239436619718,6.42253521126761,3.71830985915493,5.74647887323944,7.09859154929577,4.73239436619718,5.40845070422535,6.42253521126761,5.40845070422535,7.09859154929577,7.77464788732394,6.08450704225352,7.43661971830986,7.09859154929577,7.43661971830986,8.7887323943662,8.7887323943662,8.11267605633803,8.7887323943662,10.1408450704225,10.1408450704225,8.45070422535211,9.12676056338028,12.8450704225352,12.8450704225352,13.1830985915493,12.8450704225352,13.5211267605634
"malto3 concentration used for this datapoint (ug/mL)",5,5,5,10,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.397129905352953,0.515543125153158,0.434645978500688,0.628629006791894,0.950129248343662,0.825509970990375,0.794548145057126,0.76231568522633,0.886809835813581,0.948001679171079,0.947288065333346,0.755181966267137,0.863055950673113,0.978933498687733,0.975827815910239,0.966697633693694,0.976223304230374,0.972885016431296,0.991560192831712,0.991117107274833,0.991345228852546,0.989474426406218,0.989392029392558,0.990946949196363,0.990549646324062,0.989937837863872,0.990788014081261,0.990323537347089,0.996774298216857,0.996504368367482,0.99656720603931,0.996203956908867,0.996292643126323
