Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40
"R (growth rate per h)",0.123745120258181,0.0304922759858783,0.0236231084385313,0.0376190085241756,0.0953391340643533,0.0199736056650639,0.0382172362488723,0.0306325999254008,0.0786604101310897,0.0649100376477826,0.0745948770052408,0.0658762655526422,0.0558764829431241,0.0687340840967257,0.160489333843926,0.110715445503266,0.16350634756427,0.145528495850466,0.155637920496953,0.2933136977676,0.273999534655385,0.224874160976336,0.294293093350724,0.309386736931746,0.522446563949516,0.47531547124492,0.481882878939844,0.518208233798709,0.508478256817782,0.920205049372691,0.940390399562132,0.930858397598186,0.937239367848549,0.922448254004582,1.19887679336844,1.20762625625908,1.20209035054721,1.20549656712777,1.19790340332764
"R algorithmic standard error estimate",0.0279192254650589,0.0151835325795979,0.0118422847594716,0.0237336313307037,0.0313100842987792,0.883220880222183,0.0136150695099635,0.0213636885740533,0.024914992628432,0.0238683883562995,0.0152352741979468,0.0154754642241561,0.00907162226523961,0.0141036301514638,0.00769386808023379,0.0102237432469615,0.025896037146783,0.00439669111126215,0.00648518980408325,0.0112551429545161,0.0073231913130193,0.0217943921272522,0.00824342122685624,0.00792021904033421,0.014035104660884,0.00967725421888166,0.0103499732437705,0.0110618599691996,0.0100913384409689,0.0169172526792862,0.0156791888884283,0.0167087264697352,0.0155701626212447,0.0166059076798627,0.0604706394324397,0.0525006959736783,0.0609273090106393,0.0586715899188252,0.0597507563513453
"K (population size OD600nm)",0.00270432815485139,0.00299811262470388,0.00271517513363047,0.00267178793142865,0.000923283971118252,0.552008270624075,0.00400837727444928,0.00361980258724052,0.00554966375800807,0.00331290856746705,0.00429165984435521,0.00423122207968519,0.00404675998580673,0.00460725469896678,0.00584522614243426,0.00692939127554128,0.00850890184109181,0.00767520674846321,0.0079158411734462,0.0109474444547929,0.0124674497626329,0.0145271298016005,0.0129491665747927,0.0131608506368257,0.023446667045421,0.0230955382753752,0.0232436916489289,0.0229066900782355,0.0230403753190837,0.0466811106764243,0.04502929268937,0.0465648139645692,0.0470011058175613,0.0465164057747948,0.0906493667153004,0.0964241507344135,0.0926872831129985,0.0910517273944088,0.088858460556931
"K algorithmic standard error estimate",0.000362771817269317,0.000544273767321081,0.000641858529476807,0.000515644248696914,0.000178842677225953,12.2618084628119,0.000521406541004428,0.000905941746858404,0.000475092505662581,0.000248314222994105,0.000175079430443772,0.000230284146331101,0.000151984489994494,0.000215699177871031,0.00016912142454894,0.000127600839080599,0.000243762610323175,0.000135996290405563,0.000191242284232327,0.000261822259785303,0.00020446753185804,0.000265553805952791,0.000220404972002172,0.000207380596356336,0.000394237604596659,0.000292566096055354,0.000310724833820008,0.000308299839718221,0.000288672619096288,0.00054651270370433,0.000480270326900933,0.000536552366436801,0.000501698266861821,0.000535587393888044,0.000837288609531742,0.000787261177045254,0.000867218762554548,0.000807969677419867,0.000798851405831111
"Yield (OD600nm per ug/mL malto3)",0.00108173126194056,0.00119924504988155,0.00108607005345219,0.00106871517257146,0.000369313588447301,0.110401654124815,0.000801675454889856,0.000723960517448103,0.00110993275160161,0.000331290856746705,0.000429165984435521,0.000423122207968519,0.000404675998580673,0.000460725469896678,0.000292261307121713,0.000346469563777064,0.000425445092054591,0.00038376033742316,0.00039579205867231,0.000273686111369822,0.000311686244065822,0.000363178245040013,0.000323729164369818,0.000329021265920643,0.000293083338067763,0.00028869422844219,0.000290546145611612,0.000286333625977943,0.000288004691488547,0.000291756941727652,0.000281433079308563,0.000291030087278558,0.000293756911359758,0.000290727536092467,0.000362597466861201,0.000385696602937654,0.000370749132451994,0.000364206909577635,0.000355433842227724
"Yield algorithmic standard error estimate",0.000145108726907727,0.000217709506928432,0.000256743411790723,0.000206257699478766,7.15370708903813e-05,2.45236169256238,0.000104281308200886,0.000181188349371681,9.50185011325162e-05,2.48314222994105e-05,1.75079430443772e-05,2.30284146331101e-05,1.51984489994494e-05,2.15699177871031e-05,8.456071227447e-06,6.38004195402993e-06,1.21881305161587e-05,6.79981452027814e-06,9.56211421161637e-06,6.54555649463258e-06,5.111688296451e-06,6.63884514881978e-06,5.51012430005429e-06,5.18451490890839e-06,4.92797005745823e-06,3.65707620069192e-06,3.8840604227501e-06,3.85374799647777e-06,3.6084077387036e-06,3.41570439815206e-06,3.00168954313083e-06,3.35345229023001e-06,3.13561416788638e-06,3.34742121180028e-06,3.34915443812697e-06,3.14904470818102e-06,3.46887505021819e-06,3.23187870967947e-06,3.19540562332444e-06
"Lag estimate 1 (h)",2.95302871701327,0.638272523836728,-0.873479105735564,1.23391381811194,2.60801442803206,369.605326462149,0.680922062360984,0.90599840699422,1.91675907549262,3.00563927274829,3.70624580196096,2.75037117665761,3.20063583778014,3.03162655242937,4.79949668076534,4.16109895717998,4.38388653072147,5.48299524167382,5.04863936428257,5.72161003790968,6.11285131823083,5.22410703506832,5.70351616484069,5.91749432512674,6.63171134689789,6.80722549442638,6.78499627432688,6.7853988217979,6.9359823724803,7.73743382467318,7.61173874752178,7.93403623020731,7.97695294609032,7.85188380762411,8.40964393165289,8.49017171243692,8.52336331214538,8.7581380128849,9.1163790133815
"Lag estimate 2 (h)",1.69014084507042,2.70422535211268,2.02816901408451,0.338028169014085,24,3.38028169014085,1.69014084507042,3.71830985915493,3.04225352112676,3.38028169014085,4.05633802816901,3.38028169014085,3.71830985915493,3.71830985915493,4.73239436619718,4.3943661971831,4.73239436619718,4.73239436619718,5.74647887323944,5.07042253521127,5.40845070422535,3.71830985915493,5.74647887323944,5.40845070422535,6.08450704225352,5.40845070422535,6.08450704225352,6.08450704225352,6.42253521126761,7.09859154929577,7.43661971830986,7.09859154929577,7.09859154929577,7.09859154929577,8.11267605633803,8.11267605633803,8.11267605633803,8.45070422535211,9.12676056338028
"malto3 concentration used for this datapoint (ug/mL)",2.5,2.5,2.5,2.5,2.5,5,5,5,5,10,10,10,10,10,20,20,20,20,20,40,40,40,40,40,80,80,80,80,80,160,160,160,160,160,250,250,250,250,250
"Rsquareds for goodness of fit in [0,1]",0.463105285514364,0.772749420058384,0.839969550854427,0.642947245804703,0.365456521767793,0.400245997547192,0.868628101700846,0.624788593223714,0.866682922085537,0.826764862352519,0.938143065283279,0.918239303921659,0.958161118642399,0.935636699930445,0.947414331521671,0.986455487794891,0.963986801747123,0.9793988430558,0.962645269366638,0.9629621862011,0.98215449300837,0.985223891381944,0.980906608079137,0.983543953728909,0.981152507610222,0.989191649125044,0.987981044976865,0.987824423476234,0.989416230069442,0.990683907681164,0.992265081628296,0.99096377073839,0.992233671728338,0.990980816687716,0.995814905975079,0.996799582441954,0.995732612285731,0.99611120456147,0.995962031920264
