Var1,Var2,x_1_606_1_,x_1_606_2_,x_2_606_1_,x_2_606_2_,x_4_606_1_,x_4_606_2_,x_7_606_1_,x_7_606_2_,x_8_606_1_,x_8_606_2_,x_9_606_1_,x_9_606_2_,x_11_606_1_,x_11_606_2_,x_12_606_1_,x_13_606_1_,x_13_606_2_,x_14_606_1_,x_14_606_2_,x_17_606_1_,x_17_606_2_,x_18_606_1_,x_18_606_2_,x_19_606_1_,x_19_606_2_,x_20_606_1_,x_20_606_2_,x_21_606_1_,x_21_606_2_,x_22_606_1_,x_22_606_2_,x_23_606_1_,x_23_606_2_,x_26_606_1_,x_26_606_2_,x_27_606_1_,x_27_606_2_,x_28_606_1_,x_28_606_2_,x_29_606_1_,x_29_606_2_,x_32_606_1_,x_32_606_2_,x_41_606_1_,x_47_606_1_,x_47_606_2_,x_50_606_1_,x_51_606_1_,x_51_606_2_,x_52_606_1_,x_52_606_2_,x_56_606_1_,x_56_606_2_,x_57_606_1_,x_57_606_2_,x_59_606_1_,x_59_606_2_,x_60_606_1_,x_60_606_2_,x_61_606_1_,x_61_606_2_,x_62_606_1_,x_62_606_2_,x_65_606_1_,x_65_606_2_,x_66_606_1_,x_66_606_2_,x_67_606_1_,x_67_606_2_,x_68_606_1_,x_68_606_2_,x_69_606_1_,x_69_606_2_,x_70_606_1_,x_70_606_2_,x_71_606_1_,x_71_606_2_,x_94_606_1_,x_94_606_2_,x_95_606_1_,x_95_606_2_,x_96_606_1_,x_96_606_2_,x_98_606_1_,x_98_606_2_,x_99_606_1_,x_99_606_2_,x_30_b_1_,x_30_b_2_,x_41_b_1_,x_50_a_1_,x_97_b_1_,x_wt_
BACTERIA,11a',0.141803278688525,0.379508196721312,0.251639344262295,0.126229508196721,0.207377049180328,0.177049180327869,0.141803278688525,0.128688524590164,0.0729508196721311,0.0516393442622951,0.14344262295082,0.0622950819672131,0.0762295081967213,0.114754098360656,0.0721311475409836,0.101639344262295,0.14672131147541,0.272131147540984,0.145901639344262,0,0.157377049180328,0.301639344262295,0.309016393442623,0.145901639344262,0.0213114754098361,0.0852459016393443,0.158196721311475,0.177868852459016,0.181967213114754,0.123770491803279,0.118852459016393,0.126229508196721,0.0950819672131148,0.0983606557377049,0.166393442622951,0.117213114754098,0.0483606557377049,0.0663934426229508,0.0573770491803279,0.0688524590163935,0.0975409836065574,0.227049180327869,0.0557377049180328,0.179508196721311,0.216393442622951,0.241803278688525,0.0532786885245902,0.172950819672131,0.284426229508197,0.150819672131148,0.0754098360655738,0.202459016393443,0.060655737704918,0.10983606557377,0.0819672131147541,0.0942622950819672,0.195901639344262,0.159836065573771,0.126229508196721,0.119672131147541,0.089344262295082,0.0745901639344262,0.200819672131148,0,0.100819672131148,0.0540983606557377,0.218852459016393,0.250819672131148,0.115573770491803,0.189344262295082,0.167213114754098,0.122950819672131,0,0.0844262295081967,0.131967213114754,0.154918032786885,0.0877049180327869,0,0.0860655737704918,0.114754098360656,0.0639344262295082,0.160655737704918,0.159016393442623,0.0786885245901639,0,0.186065573770492,0.116393442622951,0,0.3,0.0639344262295082,0.069672131147541,0.0188524590163934,0
,'13a',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,'13b',0,0,0,0,0,0,0,0,0,0,0,0,0.0344262295081967,0,0,0,0.0213114754098361,0,0,0,0,0.0122950819672131,0.00737704918032787,0,0,0,0,0.0237704918032787,0,0,0.0295081967213115,0,0,0,0,0,0,0,0,0,0,0.0319672131147541,0,0,0.0622950819672131,0,0,0,0.0262295081967213,0.0278688524590164,0,0,0,0,0,0,0,0,0,0,0.0336065573770492,0,0,0,0,0,0,0.080327868852459,0,0,0,0,0,0,0,0.00737704918032787,0,0,0,0,0,0,0.0278688524590164,0,0,0,0,0.195901639344262,0.159836065573771,0,0,0,0
,'17a',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,'18a',0.254918032786885,0.444262295081967,0.376229508196721,0.409016393442623,0.351639344262295,0.402459016393443,0.481967213114754,0.227049180327869,0.369672131147541,0.265573770491803,0.272131147540984,0.210655737704918,0.40655737704918,0.369672131147541,0.235245901639344,0.358196721311475,0.455737704918033,0.441803278688525,0.459836065573771,0.201639344262295,0.558196721311476,0.398360655737705,0.374590163934426,0.345901639344262,0.431147540983607,0.347540983606557,0.368852459016393,0.404098360655738,0.34016393442623,0.369672131147541,0.401639344262295,0.357377049180328,0.409016393442623,0.374590163934426,0.359836065573771,0.280327868852459,0.411475409836066,0.357377049180328,0.298360655737705,0.292622950819672,0.34672131147541,0.322950819672131,0.308196721311475,0.381147540983607,0.381147540983607,0.376229508196721,0.247540983606557,0.436065573770492,0.439344262295082,0.357377049180328,0.298360655737705,0.338524590163934,0.395901639344262,0.372950819672131,0.431967213114754,0.458196721311475,0.268032786885246,0.268852459016393,0.422950819672131,0.379508196721312,0.418852459016393,0.419672131147541,0.334426229508197,0.302459016393443,0.322131147540984,0.218852459016393,0.344262295081967,0.391803278688525,0.35327868852459,0.351639344262295,0.309016393442623,0.368852459016393,0.128688524590164,0.430327868852459,0.54344262295082,0.428688524590164,0.431147540983607,0.0581967213114754,0.384426229508197,0.476229508196721,0.284426229508197,0.315573770491803,0.299180327868852,0.265573770491803,0.472950819672131,0.521311475409836,0.45,0.459836065573771,0.513114754098361,0.436065573770492,0.517213114754098,0.0622950819672131,0.324590163934426
,'19a',0,0,0,0,0,0,0,0,0,0,0.0221311475409836,0,0,0,0,0,0,0,0,0.019672131147541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188524590163934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122950819672131,0,0,0,0,0,0,0,0,0,0,0.019672131147541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,'20b',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,'21b',0.0942622950819672,0.275409836065574,0.208196721311475,0.0786885245901639,0.144262295081967,0.101639344262295,0.0114754098360656,0.0278688524590164,0,0,0,0,0.131967213114754,0.137704918032787,0.0172131147540984,0.120491803278689,0.207377049180328,0.132786885245902,0.0770491803278689,0,0.145081967213115,0.269672131147541,0.123770491803279,0.00737704918032787,0.113114754098361,0.100819672131148,0.173770491803279,0.186885245901639,0.145901639344262,0.162295081967213,0.00901639344262295,0.0942622950819672,0,0.0819672131147541,0.111475409836066,0,0.111475409836066,0.0918032786885246,0.105737704918033,0.0737704918032787,0.0295081967213115,0.131147540983607,0,0.10655737704918,0.14672131147541,0.226229508196721,0,0.178688524590164,0.310655737704918,0.177868852459016,0.15655737704918,0.233606557377049,0.118852459016393,0.100819672131148,0.0557377049180328,0.0114754098360656,0.0827868852459016,0.0524590163934426,0.136065573770492,0.0729508196721311,0.208196721311475,0.175409836065574,0.186065573770492,0,0.0827868852459016,0,0.167213114754098,0.180327868852459,0.149180327868852,0.181147540983607,0.178688524590164,0,0,0.238524590163934,0.214754098360656,0.231967213114754,0.131967213114754,0,0.059016393442623,0.0688524590163935,0,0.167213114754098,0.14016393442623,0,0.213934426229508,0.292622950819672,0.298360655737705,0.438524590163934,0.425409836065574,0.159836065573771,0.117213114754098,0,0.0467213114754098
,'22a',0,0.0778688524590164,0.0139344262295082,0.019672131147541,0.0122950819672131,0,0,0.00983606557377049,0.00819672131147541,0,0,0,0.019672131147541,0.00983606557377049,0,0.00983606557377049,0.0680327868852459,0.0245901639344262,0,0,0.0163934426229508,0.0614754098360656,0.0295081967213115,0,0.0155737704918033,0,0.0262295081967213,0,0,0.019672131147541,0.0114754098360656,0,0,0,0,0,0.00901639344262295,0.0155737704918033,0.010655737704918,0,0,0.0909836065573771,0,0,0,0.060655737704918,0,0.010655737704918,0.0885245901639344,0.0278688524590164,0,0,0,0.0245901639344262,0,0,0,0,0,0,0,0,0.00983606557377049,0,0,0,0,0.0352459016393443,0.0139344262295082,0.0295081967213115,0,0,0,0,0.0278688524590164,0,0,0,0,0,0,0,0,0,0,0,0.00983606557377049,0.0983606557377049,0.15327868852459,0,0,0,0
,'23b',0.223770491803279,0.395901639344262,0.247540983606557,0.115573770491803,0.128688524590164,0.109016393442623,0.0967213114754098,0.0237704918032787,0.0549180327868852,0.0450819672131148,0.0245901639344262,0,0.136885245901639,0.104918032786885,0.030327868852459,0.120491803278689,0.210655737704918,0.231967213114754,0.162295081967213,0,0.209016393442623,0.304918032786885,0.190983606557377,0.105737704918033,0.118032786885246,0.010655737704918,0.240983606557377,0.229508196721311,0.15,0.0860655737704918,0.1,0.0844262295081967,0.0983606557377049,0.144262295081967,0.210655737704918,0.1,0.150819672131148,0.0942622950819672,0.15327868852459,0.0885245901639344,0.0983606557377049,0.142622950819672,0,0.213934426229508,0.186885245901639,0.205737704918033,0,0.295901639344262,0.263934426229508,0.20655737704918,0.0786885245901639,0.223770491803279,0.0918032786885246,0.135245901639344,0.0950819672131148,0.0631147540983607,0.069672131147541,0.171311475409836,0.105737704918033,0.136065573770492,0.113114754098361,0.0844262295081967,0.285245901639344,0.010655737704918,0.10983606557377,0,0.136065573770492,0.259016393442623,0.211475409836066,0.230327868852459,0.236885245901639,0.080327868852459,0,0.10327868852459,0.145901639344262,0.169672131147541,0.172950819672131,0,0.127868852459016,0.155737704918033,0,0.173770491803279,0.181147540983607,0,0,0.325409836065574,0.147540983606557,0.413114754098361,0.318032786885246,0.0778688524590164,0.181147540983607,0,0
