Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50
0:00:00,0.077,0.078,0.077,0.078,0.078,0.085,0.078,0.078,0.077,0.093,0.078,0.073,0.076,0.088,0.075,0.08,0.074,0.074,0.076,0.077,0.078,0.079,0.119,0.073,0.077,0.078,0.078,0.079,0.077,0.074,0.078,0.074,0.076,0.077,0.075,0.073,0.076,0.075,0.076,0.077,0.077,0.074,0.077,0.084,0.079,0.078,0.078,0.073,0.079
0:20:00,0.078,0.078,0.077,0.078,0.078,0.086,0.078,0.078,0.077,0.093,0.078,0.073,0.076,0.089,0.075,0.08,0.075,0.074,0.076,0.077,0.078,0.079,0.12,0.073,0.077,0.078,0.078,0.079,0.076,0.074,0.078,0.074,0.076,0.076,0.075,0.073,0.076,0.075,0.076,0.077,0.077,0.074,0.076,0.084,0.079,0.078,0.078,0.074,0.079
0:40:00,0.078,0.078,0.077,0.078,0.078,0.086,0.078,0.078,0.076,0.094,0.077,0.073,0.076,0.089,0.076,0.08,0.075,0.074,0.076,0.077,0.078,0.079,0.122,0.074,0.077,0.078,0.077,0.079,0.076,0.074,0.078,0.074,0.076,0.076,0.075,0.073,0.076,0.075,0.076,0.077,0.077,0.074,0.075,0.084,0.079,0.078,0.077,0.074,0.079
1:00:00,0.078,0.078,0.077,0.078,0.078,0.086,0.078,0.078,0.076,0.094,0.077,0.073,0.076,0.089,0.076,0.08,0.075,0.074,0.076,0.077,0.078,0.079,0.121,0.074,0.077,0.078,0.077,0.079,0.076,0.074,0.078,0.074,0.076,0.076,0.074,0.073,0.076,0.075,0.076,0.077,0.077,0.074,0.075,0.083,0.079,0.078,0.077,0.073,0.079
1:20:00,0.078,0.078,0.077,0.078,0.078,0.086,0.078,0.078,0.076,0.094,0.077,0.073,0.076,0.089,0.076,0.08,0.075,0.074,0.076,0.077,0.078,0.079,0.121,0.073,0.077,0.078,0.077,0.079,0.076,0.073,0.078,0.074,0.076,0.076,0.075,0.073,0.076,0.075,0.076,0.077,0.077,0.074,0.075,0.084,0.079,0.078,0.078,0.074,0.079
1:40:00,0.078,0.078,0.077,0.078,0.078,0.086,0.078,0.078,0.076,0.095,0.077,0.073,0.076,0.089,0.076,0.079,0.075,0.074,0.076,0.077,0.078,0.079,0.121,0.073,0.078,0.078,0.077,0.079,0.077,0.073,0.078,0.074,0.076,0.077,0.074,0.073,0.076,0.076,0.076,0.077,0.076,0.074,0.075,0.084,0.079,0.078,0.077,0.074,0.079
2:00:00,0.078,0.078,0.077,0.078,0.078,0.086,0.079,0.078,0.077,0.095,0.078,0.073,0.076,0.088,0.075,0.079,0.075,0.073,0.076,0.077,0.078,0.079,0.121,0.074,0.078,0.078,0.078,0.079,0.077,0.074,0.078,0.074,0.076,0.076,0.074,0.073,0.076,0.076,0.076,0.077,0.076,0.074,0.075,0.084,0.079,0.078,0.078,0.073,0.078
2:20:00,0.078,0.078,0.077,0.078,0.078,0.086,0.079,0.078,0.077,0.095,0.077,0.073,0.076,0.088,0.076,0.079,0.075,0.074,0.076,0.077,0.078,0.079,0.12,0.074,0.078,0.078,0.078,0.079,0.077,0.073,0.078,0.074,0.076,0.077,0.075,0.073,0.076,0.076,0.076,0.077,0.076,0.074,0.076,0.084,0.079,0.078,0.078,0.074,0.079
2:40:00,0.078,0.078,0.078,0.078,0.078,0.086,0.079,0.078,0.077,0.095,0.078,0.073,0.077,0.088,0.076,0.079,0.075,0.073,0.076,0.077,0.078,0.079,0.12,0.074,0.078,0.078,0.078,0.079,0.077,0.073,0.078,0.074,0.076,0.077,0.075,0.073,0.076,0.076,0.076,0.077,0.076,0.074,0.076,0.083,0.079,0.078,0.078,0.074,0.079
3:00:00,0.078,0.078,0.078,0.078,0.078,0.086,0.079,0.078,0.077,0.094,0.078,0.073,0.077,0.088,0.076,0.079,0.076,0.074,0.076,0.077,0.078,0.079,0.121,0.073,0.078,0.078,0.078,0.079,0.077,0.073,0.078,0.075,0.076,0.077,0.075,0.073,0.076,0.076,0.076,0.077,0.077,0.074,0.076,0.084,0.08,0.078,0.078,0.074,0.079
3:20:00,0.078,0.078,0.078,0.078,0.078,0.086,0.079,0.078,0.077,0.094,0.078,0.073,0.077,0.088,0.076,0.079,0.076,0.074,0.076,0.077,0.078,0.079,0.12,0.074,0.078,0.078,0.078,0.079,0.078,0.074,0.079,0.075,0.076,0.077,0.075,0.073,0.076,0.076,0.076,0.077,0.077,0.074,0.076,0.083,0.08,0.078,0.079,0.074,0.079
3:40:00,0.078,0.078,0.078,0.078,0.078,0.086,0.079,0.078,0.077,0.094,0.078,0.073,0.077,0.088,0.076,0.079,0.076,0.073,0.076,0.078,0.078,0.08,0.122,0.074,0.078,0.078,0.079,0.079,0.078,0.073,0.079,0.075,0.076,0.077,0.075,0.073,0.076,0.076,0.076,0.077,0.077,0.074,0.076,0.083,0.08,0.078,0.079,0.074,0.079
4:00:00,0.078,0.078,0.078,0.079,0.078,0.086,0.079,0.079,0.077,0.094,0.078,0.073,0.077,0.088,0.076,0.079,0.076,0.074,0.077,0.078,0.078,0.08,0.122,0.073,0.078,0.078,0.079,0.079,0.078,0.073,0.079,0.075,0.076,0.077,0.076,0.073,0.076,0.076,0.077,0.078,0.077,0.074,0.077,0.083,0.08,0.078,0.079,0.074,0.08
4:20:00,0.078,0.079,0.078,0.079,0.078,0.086,0.08,0.079,0.077,0.094,0.078,0.073,0.077,0.088,0.076,0.08,0.076,0.073,0.077,0.078,0.079,0.08,0.122,0.073,0.079,0.079,0.079,0.079,0.078,0.074,0.079,0.075,0.077,0.077,0.076,0.073,0.077,0.077,0.077,0.078,0.077,0.074,0.077,0.083,0.08,0.078,0.079,0.074,0.08
4:40:00,0.079,0.079,0.078,0.079,0.078,0.086,0.08,0.079,0.077,0.094,0.078,0.073,0.078,0.088,0.076,0.081,0.076,0.074,0.077,0.078,0.079,0.08,0.123,0.074,0.079,0.079,0.079,0.08,0.078,0.073,0.08,0.075,0.077,0.078,0.076,0.073,0.077,0.077,0.077,0.078,0.077,0.074,0.077,0.083,0.08,0.078,0.079,0.074,0.08
