PFU,Area
46875,187
9375,177
1875,153
375,98
75,9
15,0
3,0
0,0
0,0
0,0
0,0
0,0
15625,169
3125,185
625,175
125,123
25,16
5,0
1,0
0,0
0,0
0,0
0,0
0,0
78125,190
15625,176
3125,149
625,103
125,49
25,0
5,0
0,0
0,0
0,0
0,0
0,0
62500,196
12500,177
2500,159
500,109
100,14
20,0
4,0
0,0
0,0
0,0
0,0
0,0
15625,198
3125,164
625,170
125,122
25,40
5,0
1,0
0,0
0,0
0,0
0,0
0,0
62500,199
12500,169
2500,163
500,121
100,17
20,0
4,0
0,0
0,0
0,0
0,0
0,0
62500,192
12500,200
2500,146
500,118
100,70
20,0
4,0
0,0
0,0
0,0
0,0
0,0
46875,163
9375,177
1875,167
375,145
75,20
15,0
3,0
0,0
0,0
0,0
0,0
0,0
