Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13
,1,2,3,4,5,6,7,8,9,10,11,12
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,46875,9375,1875,375,75,15,3,0,0,0,0,0
,187,177,153,98,9,0,0,0,0,0,0,0
B,15625,3125,625,125,25,5,1,0,0,0,0,0
,169,185,175,123,16,0,0,0,0,0,0,0
C,78125,15625,3125,625,125,25,5,0,0,0,0,0
,190,176,149,103,49,0,0,0,0,0,0,0
D,62500,12500,2500,500,100,20,4,0,0,0,0,0
,196,177,159,109,14,0,0,0,0,0,0,0
E,15625,3125,625,125,25,5,1,0,0,0,0,0
,198,164,170,122,40,0,0,0,0,0,0,0
F,62500,12500,2500,500,100,20,4,0,0,0,0,0
,199,169,163,121,17,0,0,0,0,0,0,0
G,62500,12500,2500,500,100,20,4,0,0,0,0,0
,192,200,146,118,70,0,0,0,0,0,0,0
H,46875,9375,1875,375,75,15,3,0,0,0,0,0
,163,177,167,145,20,0,0,0,0,0,0,0
