,replicate 1,initial,replicate 2,initial,replicate 3,initial,replicate 1,final,replicate 2,final,replicate 3,final,
clone,Red,White,Red,White,Red,White,Red,White,Red,White,Red,White,
1a,192,220,189,173,170,169,72,105,80,136,92,109,
1b,109,167,167,198,181,194,89,121,66,110,70,111,
2a,172,185,143,200,150,151,124,83,93,58,93,44,
2b,125,171,211,266,157,232,27,141,38,135,35,178,
4a,129,144,198,197,180,208,103,51,125,87,112,62,
4b,143,158,192,220,98,98,120,46,151,59,104,42,
7a,191,214,211,234,166,194,133,49,96,82,92,56,
7b,177,176,233,217,182,189,158,57,88,60,121,66,
8a,175,209,151,179,170,221,19,157,28,162,27,198,
8b,209,178,190,225,220,251,47,43,47,56,98,137,
9a,154,190,236,247,177,245,126,41,113,36,162,39,
9b,146,193,196,213,220,207,114,48,113,67,157,53,
11a,195,184,201,214,264,220,87,120,82,96,107,138,
11b,138,113,194,199,208,221,78,94,112,102,122,88,
13a,151,190,175,230,179,209,57,118,53,136,46,126,
13b,236,201,181,172,253,196,80,69,75,51,87,107,
14a,171,243,202,218,141,190,85,86,87,65,92,84,
14b,146,139,184,179,243,228,94,98,87,109,63,80,
17a,138,182,211,190,213,246,93,32,117,57,129,52,
17b,110,130,228,194,168,176,126,39,130,36,140,49,
18a,184,192,192,182,175,200,143,55,116,55,111,56,
18b,128,162,182,241,169,186,136,50,113,55,119,43,
19a,172,208,175,210,175,211,15,137,25,153,14,140,
19b,206,178,184,195,162,172,140,70,121,73,121,80,
20a,162,150,146,144,201,199,14,54,33,83,40,101,
20b,99,139,156,184,115,101,49,20,94,34,72,44,
21a,196,203,168,156,206,235,63,64,91,107,116,120,
21b,209,243,232,192,228,156,102,86,110,105,146,83,
22a,160,158,220,216,238,251,112,103,124,99,105,109,
22b,137,147,226,205,186,160,45,153,49,138,55,151,
23a,156,158,202,195,172,207,123,76,130,86,95,70,
23b,203,179,188,178,211,185,192,65,116,56,139,72,
26a,301,166,374,153,325,149,137,49,146,47,112,54,
26b,197,144,216,173,166,179,110,91,96,81,79,68,
27a,184,161,260,176,220,188,109,85,113,93,116,94,
27b,214,177,202,165,199,191,105,83,78,66,101,78,
28a,158,164,177,199,133,177,4,176,8,156,15,191,
28b,155,171,190,190,186,159,30,155,25,162,37,151,
29a,180,136,221,187,157,140,164,51,143,43,140,62,
29b,265,195,234,175,190,143,127,50,142,52,159,46,
30a,179,166,212,172,190,164,150,49,137,43,142,35,
30b,142,155,236,164,153,150,135,52,143,35,144,55,
41a,201,167,170,154,193,142,120,57,139,41,66,19,
41b,190,154,188,139,187,158,103,59,156,77,122,69,
47a,169,148,230,196,182,151,154,38,145,53,147,40,
47b,162,157,243,187,172,146,132,33,168,48,123,39,
50a,193,144,179,127,184,177,179,46,116,39,120,34,
50b,117,177,220,137,166,144,128,42,151,41,120,20,
51a,139,113,204,165,227,146,94,75,98,91,54,38,
51b,200,156,214,191,157,129,162,44,123,30,178,39,
52a,151,148,149,122,145,111,121,58,131,60,141,62,
52b,102,111,117,98,114,144,87,48,118,64,92,65,
56a,126,131,130,130,139,129,74,38,119,47,94,40,
56b,136,168,178,188,144,154,104,62,134,66,126,64,
57a,121,156,134,128,118,140,94,64,130,51,122,59,
57b,110,144,136,148,173,139,72,67,80,99,98,114,
59a,109,107,120,134,202,175,66,39,30,47,97,79,
59b,135,117,153,149,99,114,90,74,88,107,93,89,
60a,174,153,110,118,107,107,98,34,122,50,105,56,
60b,13,105,24,162,10,114,1,300,1,300,1,300,
61a,134,141,106,130,108,139,59,100,94,102,22,62,
61b,166,169,142,168,170,142,98,43,127,35,98,37,
62a,39,63,37,60,75,173,1,169,1,136,1,144,
62b,144,160,177,155,211,190,122,38,78,22,103,29,
65a,158,131,134,150,137,178,71,67,76,101,52,81,
65b,83,136,110,190,103,126,1,115,6,145,7,149,
66a,161,142,137,131,152,164,101,30,144,55,120,41,
66b,134,145,171,183,188,175,106,28,116,40,97,35,
67a,84,109,92,135,123,162,1,300,1,300,1,300,
67b,88,138,166,188,111,158,107,54,113,63,101,42,
68a,163,144,144,158,229,201,82,77,92,99,92,80,
68b,36,210,20,129,28,124,2,136,4,87,8,129,
69a,136,146,116,125,135,139,65,27,93,36,95,50,
69b,29,133,29,194,33,160,1,300,1,300,1,300,
70a,116,134,183,163,155,164,81,41,101,28,113,32,
70b,161,152,138,103,197,160,83,23,58,17,105,29,
71a,150,118,171,157,208,201,60,34,77,32,103,34,
71b,155,146,152,143,161,189,115,52,128,58,121,58,
94a,153,147,130,134,,,81,90,80,112,2,193,
94b,156,186,103,96,150,186,99,44,129,40,130,47,
95a,206,158,177,160,181,175,122,44,117,35,114,56,
95b,143,125,155,182,164,157,122,47,132,44,103,34,
96a,154,163,152,131,156,170,85,52,112,58,74,46,
96b,162,150,132,143,151,114,87,72,92,97,92,59,
97a,169,156,141,141,121,130,97,31,113,52,91,38,
97b,144,136,120,115,128,137,110,46,122,38,88,33,
98a,159,135,127,112,192,157,72,79,64,73,82,47,
98b,123,120,121,145,105,113,99,45,67,34,75,48,
99a,136,144,142,136,181,170,75,52,78,73,82,51,
99b,158,160,131,134,132,136,72,56,58,66,43,39,
606 (WT),156,145,174,188,195,226,115,52,116,53,132,50,
606 (WT),102,113,165,149,87,90,126,50,104,56,54,16,
606 (WT),169,156,74,75,131,141,60,26,128,53,128,43,
,,,,,,,,,,,,,
