clone,replicate1,replicate2,replicate3
1a,0.981556672855077,0.954394885838265,0.986883489902729
1b,1.00885563129519,0.974254648173687,0.970455726282357
2a,1.03644555677614,1.06421152638911,1.06000867723749
2b,0.901665428958688,0.921136663642847,0.908790173975118
4a,1.06361986260146,1.02749164543932,1.05838472636859
4b,1.08413908991321,1.08607395607361,1.06991875457344
7a,1.09012231083305,1.02045067701411,1.05188157518841
7b,1.07990792941061,1.02488844400266,1.05044699759729
8a,0.857033173167225,0.884418336744047,0.873769552517786
8b,0.994223183811928,0.999506810749625,0.984618663019704
9a,1.10851448918731,1.10003879813303,1.14603191934819
9b,1.09208620700926,1.04786136068441,1.08231255528295
11a,0.971642848961127,0.992703343100693,0.967282797576344
11b,0.971649916715182,1.00904929702225,1.03003631821605
13a,0.962674658180054,0.949656486015283,0.935933375296328
13b,0.999010947893234,1.02656064528105,0.965012287478889
14a,1.02658740392744,1.02917385671847,1.02994283243224
14b,0.99325669409572,0.981006026117708,0.976299876050642
17a,1.1112519596738,1.0487084618583,1.08584713848228
17b,1.10623401932873,1.09253253547344,1.08744959177422
18a,1.0794304328033,1.05489953771825,1.06519489552438
18b,1.097800956548,1.0811185834622,1.09017687495592
19a,0.849089852691929,0.879305153240248,0.842188257880837
19b,1.04246585344188,1.04390214315642,1.03629582391555
20a,0.888470888770706,0.929426386512197,0.928734269954198
20b,1.10402173504618,1.09747013374264,1.02793042845067
21a,1.00152773684105,0.982432742346567,1.00744158047081
21b,1.02515127408095,0.98919752889235,1.01405259662803
22a,1.00531767188683,1.01586551531525,1.00121671982186
22b,0.916760676425675,0.915575323892392,0.91564530793893
23a,1.03777157625936,1.0290777206897,1.03853545723563
23b,1.07477344503053,1.05320925036338,1.04088819381285
26a,1.03438081432137,1.01896612322199,0.996065477003119
26b,0.990733422388348,0.996010637942262,1.01753927546761
27a,1.00874002830787,0.985171129489735,1.00404727592024
27b,1.00346858333781,0.99726587039271,1.0168251704925
28a,0.730168250980837,0.789769643848071,0.837425706623858
28b,0.887441957675771,0.863158378954354,0.886427105412368
29a,1.06916718918476,1.08380234719562,1.05383466803633
29b,1.05021735966721,1.05666164050239,1.07539312307388
30a,1.08284148934186,1.07640779573189,1.10213692032422
30b,1.08186765477076,1.08504049022873,1.07357650250481
41a,1.04388574973407,1.08982103370608,1.07949363734438
41b,1.02700042771865,1.03055481148811,1.03090785211541
47a,1.10169330064281,1.0676765515641,1.08927816498419
47b,1.11055556488096,1.07954734474327,1.07880737597531
50a,1.08409649994736,1.05910855687577,1.10047453479855
50b,1.12348167441032,1.06583031602186,1.13930623629501
51a,1.00139647156112,0.989556572344258,0.992786753247901
51b,1.08406043345999,1.10842839128581,1.10474374283061
52a,1.05553958695414,1.04432587017525,1.04189655837245
52b,1.05234299163552,1.03245808145169,1.0446246072422
56a,1.05608204737561,1.07258688167956,1.06166704998601
56b,1.05683623844232,1.05974312782252,1.05754910296327
57a,1.04940038697244,1.06900955175113,1.06929297314326
57b,1.02615296834846,0.990417369670776,0.972824980320819
59a,1.03963489006723,0.973480029763959,1.00474505256055
59b,1.00394116569998,0.983537736255017,1.01363815037795
60a,1.07553869351004,1.07426206036003,1.04773747450722
60b,0.756832116766235,0.737089820460372,0.778789948165175
61a,0.964614351818387,1.00901921358753,0.939749467847162
61b,1.06762199769178,1.11896696996204,1.06367601371247
62a,0.685837090775885,0.697329339204625,0.696742955206895
62b,1.10274707725092,1.09550109952125,1.09740451578021
65a,0.99015516207362,0.987213730524697,0.986076116152669
65b,0.688512313311351,0.80521316579802,0.795719981552053
66a,1.08876571253469,1.07087747702929,1.0925163393125
66b,1.1158598874379,1.09211404548563,1.07764224870926
67a,0.632905885740566,0.635945694008948,0.623857775795781
67b,1.08804383374323,1.05570633080475,1.09851545913687
68a,0.995373360368499,1.00145717776578,1.00072473076906
68b,0.816463008464233,0.909434563786933,0.906727539077736
69a,1.07829175733098,1.08144358050181,1.05245446048554
69b,0.714215243168454,0.733134229688265,0.714408600565732
70a,1.06532426842417,1.09682955504496,1.10820557467654
70b,1.10277603567483,1.07780134553659,1.0890871605319
71a,1.02609406590765,1.06483858694506,1.08922452029583
71b,1.05740917138614,1.05657439786811,1.0708940590243
94a,0.989090650954638,0.977547442174096,NaN
94b,1.07974984561167,1.08505012338778,1.09907612524039
95a,1.06018536699594,1.08993805335583,1.0534183990092
95b,1.06382492539794,1.10158317147302,1.08666614983861
96a,1.04325771009192,1.03918023332584,1.04487929812143
96b,1.00858315967637,1.00201977693846,1.01240188572954
97a,1.08694362405294,1.06055113434661,1.07508740822089
97b,1.0639893761956,1.08843726115508,1.08463337371693
98a,0.980691470946263,0.980783183732314,1.02817911484613
98b,1.05950788567529,1.06949177093309,1.04010352555447
99a,1.03308625159378,1.00174915959163,1.0326839619701
99b,1.02067207043813,0.991869488956391,1.01014540815284
606,1.05633815387789,1.06858396812921,1.09086816351203
606,1.07897403053128,1.04027759025274,1.10343042037799
606,1.06289262900955,1.06646424689139,1.09220757471947
